"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:30";="600100572";Nombre RSA avec Diags COVID-19 (sauf U07.13);13;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:30";="600100572";Nombre RSA avec Diags COVID-19;13;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:30";="600100572";Nombre RSA correctement chainés;13;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:30";="600100572";Nombre RSA groupés en CM 90;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";Nombre RSA avec Diags COVID-19 (sauf U07.13);59;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";Nombre RSA avec Diags COVID-19;71;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";Nombre RSA correctement chainés;71;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";Nombre RSA groupés en CM 90;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";Nombre RSA avec Diags COVID-19 (sauf U07.13);13;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";Nombre RSA avec Diags COVID-19;18;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";Nombre RSA correctement chainés;18;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";Nombre RSA groupés en CM 90;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";Nombre RSA avec Diags COVID-19 (sauf U07.13);109;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";Nombre RSA avec Diags COVID-19;119;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";Nombre RSA correctement chainés;118;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";Nombre RSA groupés en CM 90;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:51";="590780052";Nombre RSA avec Diags COVID-19 (sauf U07.13);31;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:51";="590780052";Nombre RSA avec Diags COVID-19;31;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:51";="590780052";Nombre RSA correctement chainés;31;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:51";="590780052";Nombre RSA groupés en CM 90;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:42";="600100648";Nombre RSA avec Diags COVID-19 (sauf U07.13);51;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:42";="600100648";Nombre RSA avec Diags COVID-19;54;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:42";="600100648";Nombre RSA correctement chainés;54;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:42";="600100648";Nombre RSA groupés en CM 90;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:28";="620000026";Nombre RSA avec Diags COVID-19 (sauf U07.13);9;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:28";="620000026";Nombre RSA avec Diags COVID-19;9;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:28";="620000026";Nombre RSA correctement chainés;9;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:28";="620000026";Nombre RSA groupés en CM 90;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";Nombre RSA avec Diags COVID-19 (sauf U07.13);0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";Nombre RSA avec Diags COVID-19;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";Nombre RSA correctement chainés;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";Nombre RSA groupés en CM 90;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";Nombre RSA avec Diags COVID-19 (sauf U07.13);163;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";Nombre RSA avec Diags COVID-19;169;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";Nombre RSA correctement chainés;169;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";Nombre RSA groupés en CM 90;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:24";="590000600";Nombre RSA avec Diags COVID-19 (sauf U07.13);30;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:24";="590000600";Nombre RSA avec Diags COVID-19;30;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:24";="590000600";Nombre RSA correctement chainés;30;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:24";="590000600";Nombre RSA groupés en CM 90;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";Nombre RSA avec Diags COVID-19 (sauf U07.13);162;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";Nombre RSA avec Diags COVID-19;162;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";Nombre RSA correctement chainés;156;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";Nombre RSA groupés en CM 90;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";Nombre RSA avec Diags COVID-19 (sauf U07.13);40;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";Nombre RSA avec Diags COVID-19;42;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";Nombre RSA correctement chainés;41;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";Nombre RSA groupés en CM 90;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:42";="590781670";Nombre RSA avec Diags COVID-19 (sauf U07.13);66;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:42";="590781670";Nombre RSA avec Diags COVID-19;66;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:42";="590781670";Nombre RSA correctement chainés;66;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:42";="590781670";Nombre RSA groupés en CM 90;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:55";="020000261";Nombre RSA avec Diags COVID-19 (sauf U07.13);192;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:55";="020000261";Nombre RSA avec Diags COVID-19;378;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:55";="020000261";Nombre RSA correctement chainés;375;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:55";="020000261";Nombre RSA groupés en CM 90;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:51";="620100651";Nombre RSA avec Diags COVID-19 (sauf U07.13);359;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:51";="620100651";Nombre RSA avec Diags COVID-19;384;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:51";="620100651";Nombre RSA correctement chainés;384;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:51";="620100651";Nombre RSA groupés en CM 90;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:18";="620027839";Nombre RSA avec Diags COVID-19 (sauf U07.13);0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:18";="620027839";Nombre RSA avec Diags COVID-19;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:18";="620027839";Nombre RSA correctement chainés;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:18";="620027839";Nombre RSA groupés en CM 90;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:47";="590780284";Nombre RSA avec Diags COVID-19 (sauf U07.13);149;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:47";="590780284";Nombre RSA avec Diags COVID-19;160;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:47";="590780284";Nombre RSA correctement chainés;159;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:47";="590780284";Nombre RSA groupés en CM 90;1;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:53";="020000287";Nombre RSA avec Diags COVID-19 (sauf U07.13);103;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:53";="020000287";Nombre RSA avec Diags COVID-19;103;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:53";="020000287";Nombre RSA correctement chainés;101;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:53";="020000287";Nombre RSA groupés en CM 90;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:55";="590797353";Nombre RSA avec Diags COVID-19 (sauf U07.13);157;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:55";="590797353";Nombre RSA avec Diags COVID-19;288;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:55";="590797353";Nombre RSA correctement chainés;283;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:55";="590797353";Nombre RSA groupés en CM 90;1;2023.7;X590797353;30AUG23;10:32:13
