"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";1;166;124;290;2.2219247758;1.2560777958;1.672144381;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";2;518;458;976;6.9334761076;4.6393841167;5.6276307444;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";3;373;401;774;4.992638201;4.061993517;4.4628956928;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";4;3183;5530;8713;42.604738322;56.017017828;50.239289627;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";5;2213;1980;4193;29.621201981;20.056726094;24.176901343;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";6;371;804;1175;4.965868023;8.1442463533;6.7750677507;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:32";="800000077";4;312;94;406;72.727272727;37.301587302;59.618208517;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:32";="800000077";5;84;92;176;19.58041958;36.507936508;25.844346549;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:32";="800000077";6;33;66;99;7.6923076923;26.19047619;14.537444934;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:46";="590782645";4;4;2;6;3.007518797;0.9478672986;1.7441860465;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:46";="590782645";5;71;96;167;53.383458647;45.497630332;48.546511628;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:46";="590782645";6;58;113;171;43.609022556;53.55450237;49.709302326;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:13";="600100572";4;16;3;19;13.445378151;2.1897810219;7.421875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:13";="600100572";5;60;56;116;50.420168067;40.875912409;45.3125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:13";="600100572";6;43;78;121;36.134453782;56.934306569;47.265625;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";1;2;2;4;0.2103049422;0.170212766;0.1881467545;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";2;14;10;24;1.4721345952;0.8510638298;1.1288805268;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";3;19;49;68;1.9978969506;4.170212766;3.198494826;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";4;481;539;1020;50.578338591;45.872340426;47.977422389;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";5;318;304;622;33.438485804;25.872340426;29.25682032;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";6;117;271;388;12.302839117;23.063829787;18.250235183;2023.7;X020004495;28AUG23;15:44:15
