"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";5;;15;15;10.466666667;68.419178082;79;46.666666667;6.6666666667;6.6666666667;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";6;;1;1;6;54;54;100;0;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";99;;102;102;12.245098039;75.698898738;80;51.960784314;13.725490196;0.9803921569;0.9803921569;9999;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";1;;41;41;10.87804878;75.87804878;76;51.219512195;0;4.8780487805;12.195121951;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";2;;7;7;2;85.285714286;89;28.571428571;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";3;;4;4;0.25;73.75;74.5;50;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";4;;2;2;5.5;74;74;50;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";5;;11;11;1.1818181818;71.727272727;82;45.454545455;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";6;;1;1;0;37;37;0;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";99;;66;66;7.3484848485;75.409090909;77.5;46.96969697;0;3.0303030303;7.5757575758;9999;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";1;;69;69;14.188405797;67.355290848;77;53.623188406;5.7971014493;10.144927536;7.2463768116;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";2;;20;20;14.25;68.575479452;72;45;0;10;5;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";3;;36;36;7.9722222222;61.542922374;67.5;52.777777778;8.3333333333;13.888888889;8.3333333333;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";4;;46;46;8.1304347826;66.053901132;76;54.347826087;2.1739130435;8.6956521739;4.347826087;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";5;;24;24;18.041666667;64.462557078;75.5;33.333333333;8.3333333333;20.833333333;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";6;;13;13;11.923076923;69.092307692;76;76.923076923;7.6923076923;7.6923076923;7.6923076923;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";7;;10;10;8;76.2;78;60;10;30;10;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";99;;218;218;11.894495413;66.423626995;75;52.293577982;5.504587156;12.385321101;5.9633027523;9999;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";1;;6;6;15.166666667;74.5;76.5;83.333333333;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";3;;1;1;8;80;80;0;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";4;;2;2;8.5;62.5;62.5;50;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";5;;5;5;7.6;84;82;40;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";6;;1;1;13;94;94;100;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";99;;15;15;11.133333333;77.733333333;80;60;0;0;0;9999;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";1;;11;11;16.636363636;86.545454545;85;45.454545455;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";2;;1;1;19;87;87;100;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";3;;6;6;22;85.5;87.5;50;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";4;;9;9;16.111111111;81;83;55.555555556;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";5;;4;4;22.5;81.75;85.5;50;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";6;;3;3;13.666666667;88.666666667;89;0;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";7;;2;2;14.5;87;87;50;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";99;;36;36;17.75;84.666666667;85.5;47.222222222;0;0;0;9999;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";1;;4;4;7.5;85.5;88.5;0;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";2;;2;2;9.5;67;67;100;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";3;;2;2;11;93.5;93.5;50;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";4;;2;2;18.5;83;83;0;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";5;;1;1;27;92;92;0;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";6;;2;2;7.5;91;91;50;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";99;;13;13;11.538461538;84.846153846;89;30.769230769;0;0;0;9999;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";1;;20;20;17.45;78.25;83.5;45;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";2;;5;5;15.6;61.2;68;20;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";3;;10;10;13.5;79.9;82;20;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";4;;12;12;11.333333333;71.532876712;78.5;58.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";5;;10;10;21.5;79.2;81.5;40;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";6;;1;1;4;86;86;0;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";7;;1;1;170;69;69;0;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";99;;59;59;18.423728814;75.854144416;81;38.983050847;0;0;0;9999;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";1;;4;4;10.25;88.5;86;50;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";2;;1;1;15;89;89;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";3;;2;2;8.5;92;92;50;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";4;;3;3;17;88;89;33.333333333;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";5;;3;3;11;84;87;66.666666667;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";99;;13;13;12.076923077;87.923076923;87;46.153846154;0;0;0;9999;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";1;;21;21;5.0952380952;70.952380952;73;57.142857143;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";2;;16;16;8.75;72.625;76.5;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";3;;21;21;3.3333333333;69.80952381;73;42.857142857;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";4;;25;25;6.4;77.16;83;44;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";5;;20;20;6.9;83.25;84.5;40;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";6;;4;4;1.5;69.25;70;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";7;;2;2;4.5;72;72;100;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";99;;109;109;5.7798165138;74.614678899;80;47.706422018;0;0;0;9999;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";1;;3;3;16.666666667;89.333333333;89;0;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";2;;3;3;12.333333333;89;86;33.333333333;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";3;;7;7;12.142857143;58;45;85.714285714;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";4;;14;14;19.357142857;83.357142857;87;14.285714286;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";5;;1;1;15;87;87;100;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";6;;3;3;23.333333333;82;83;66.666666667;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";99;;31;31;17.032258065;78.741935484;86;38.709677419;0;0;0;9999;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";1;;12;12;11.5;76.75;80.5;41.666666667;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";2;;3;3;10;76;72;0;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";3;;12;12;7.5833333333;83.916666667;85.5;41.666666667;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";4;;10;10;7.7;78.1;78;60;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";5;;9;9;10.555555556;78.333333333;84;44.444444444;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
