"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;col1;col4;col6;col5;col1_am;col1_coef;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_rep;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_nn1;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_nn2;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_nn3;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_po;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_caisson;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_suppdia;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_sdc;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_supp_inno;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_ctc;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_sc_v;11778.912984;7932.6324355;3846.2805485;7652.0438939;11471.400479;11696.460593;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_si_v;0;0;0;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:37";="600100168";mnt_tot;6226258.9396;4470328.6849;1755930.2547;4179256.17;5814459.4334;6182675.127;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";coefgeo;;1;1;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";coefp;;0.993;0.993;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";coefrep;;1;1;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";coefseg;;1.0023;1.0013;;;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_ghs;2284474.2977;1690967.5106;593506.7871;1530445.508;2066952.0382;2268482.9776;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_sejc;-2573.535549;-2573.535549;0;-2444.154503;-2444.154503;-2555.5208;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_ghs50;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_exh;26106.909831;20217.49353;5889.416301;19963.283042;25742.211124;25924.161462;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_9615;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_rap;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_ant;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_rdth;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_jrea;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_rep;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_nn1;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_nn2;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_nn3;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_po;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_caisson;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_suppdia;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_sdc;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:40";="020000022";mnt_supp_inno;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
