"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";1;;16;16;13.25;78.625;79.5;43.75;6.25;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";2;;18;18;13.166666667;76.444444444;80;55.555555556;27.777777778;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";3;;16;16;13.3125;73.9375;79.5;56.25;12.5;0;6.25;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";4;;20;20;8.1;70.5;74;35;10;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";5;;10;10;8.6;75.728767123;86.5;50;0;10;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";6;;1;1;6;54;54;100;0;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:40";="020000253";99;;102;102;12.245098039;75.698898738;80;51.960784314;13.725490196;0.9803921569;0.9803921569;9999;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";11;;1;1;45;76;76;0;0;0;0;2022;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";12;;15;15;20;78.866666667;79;33.333333333;0;13.333333333;13.333333333;2022;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";1;;26;26;4.0769230769;74.192307692;76;61.538461538;0;0;11.538461538;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";2;;7;7;1.4285714286;88;90;28.571428571;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
