"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";04M111;5194;1;1;0;402.2742776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";04M133;1182;1;38;0;5556.9436416;0;0;1406.387268;0;0;17838.88729;0;0;621.2175216;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";04M25T;5255;2;2;0;973.9903712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M05T;5294;1;1;0;305.8057392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M092;1754;1;4;0;2884.6171336;0;0;0;0;0;0;0;1432.9644352;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M13T;5336;1;0;1;308.9329152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M15T;5338;1;1;0;301.3234536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M16T;5339;1;0;1;312.0280176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";05M23Z;1807;1;1;0;1126.0299384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06C19J;1995;1;0;1;1508.180856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06C221;2004;1;2;0;3209.9098512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06M09T;5378;2;2;0;681.4677792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06M101;2163;1;5;0;1665.1330176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06M122;2173;1;3;0;1891.2118056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";06M12T;5381;3;3;0;892.525012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";07M02T;2518;1;1;0;624.192348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";07M073;2531;1;10;0;5338.13056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C14J;2768;1;0;1;1059.3914208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C241;2783;1;5;0;4863.5284464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C321;2808;1;3;0;2894.3056272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C381;2836;1;1;0;1582.9283808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C391;2841;1;1;0;1706.235336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08C443;2868;1;10;0;4669.8680496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
