"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;nbatu;mnt_br;mnt_remb;nb_gyn;mnt_br_gyn;mnt_remb_gyn;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";6;400;11398.1756;9369.3003432;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:21";="590782421";7;379;10799.771381;8904.8246875;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";1;125;3376.891375;2809.573624;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";2;43;1161.650633;950.9326112;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";3;40;1139.81756;951.7476626;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";4;65;1852.203535;1555.8509694;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";5;136;3875.379704;3185.7900802;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";6;124;3533.434436;2946.4283926;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:12";="020000063";7;114;3248.480046;2712.7657928;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";1;125;3376.891375;2793.3645454;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";2;130;3511.96703;2928.4402004;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";3;134;3818.388826;3117.4010266;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";4;122;3476.443558;2878.039339;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";5;125;3561.929875;2923.6320414;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";6;138;3932.370582;3294.0727484;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:33";="590782652";7;132;3761.397948;3128.7992022;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";1;221;5970.343951;4981.5901564;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";2;178;4808.693318;3998.239388;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";3;205;5841.564995;4832.8264544;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";4;190;5414.13341;4507.9784498;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";5;205;5841.564995;4855.6228056;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";6;221;6297.492019;5231.7626004;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:21";="020000261";7;223;6354.482897;5300.151654;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";1;174;4700.632794;3890.178864;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";2;188;5078.844628;4225.1664884;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";3;206;5870.060434;4918.3127714;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";4;208;5927.051312;4921.1623153;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";5;217;6183.510263;5223.2139687;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";6;214;6098.023946;5077.8872298;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:07";="620100651";7;206;5870.060434;4924.0118592;0;0;0;2023.7;X620100651;29AUG23;16:27:45
