"champ";"statut";"annee";"periode";"date du resultat";"ipe";mod_ent;tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";URG;UHCD;2881;30;19;390;2457;34;2005;2575;51.527594585;URG;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";URG;ZAUM;2210;361;209;332;1794;84;81;15741;58.064941424;URG;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";DOM;CA;7907;4082;4082;1;7906;0;7907;0;57.49095738;DOM;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";DOM;HP;100;0;0;0;100;0;100;0;60.87;DOM;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";DOM;SC;7;3;1;1;5;1;1;37;61.428571429;DOM;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";DOM;UHCD;466;27;14;61;395;10;365;485;55.690987124;DOM;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";DOM;ZAUM;2154;1200;941;193;1948;13;251;5914;62.727019499;DOM;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";TRMUT;CA;6;0;0;5;1;0;6;0;75.833333333;TRMUT;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";TRMUT;SC;3;0;0;1;2;0;1;9;46;TRMUT;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";TRMUT;SI;1;0;0;0;1;0;0;18;72;TRMUT;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";TRMUT;UHCD;2;0;0;2;0;0;2;0;73.5;TRMUT;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";TRMUT;ZAUM;62;27;8;25;35;2;7;421;76.403225806;TRMUT;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";URG;CA;4;3;3;0;4;0;4;0;42.25;URG;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";URG;SC;6;2;1;3;3;0;0;58;72.5;URG;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";URG;SI;3;0;0;1;2;0;0;47;83.666666667;URG;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";URG;UHCD;514;30;9;72;428;14;328;1383;59.552529183;URG;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:28";="620003376";URG;ZAUM;600;93;28;138;445;17;15;2400;66.125;URG;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;CA;1988;1154;1153;2;1986;0;1929;109;41.89889336;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;HP;1439;168;168;5;1430;4;1410;222;50.085641665;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;REA;2;0;0;1;0;1;0;26;69.5;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;SC;10;0;0;0;10;0;1;43;7.8884931507;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;SI;7;1;0;2;5;0;1;35;68.714285714;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;UHCD;1;0;0;0;1;0;0;1;97;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";DOM;ZAUM;966;477;354;39;897;30;51;3572;54.501778269;DOM;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;CA;10;3;3;10;0;0;10;0;63.6;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;HP;2;0;0;2;0;0;2;0;38.5;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;REA;18;1;1;13;0;5;0;195;67;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;SC;2;0;0;1;1;0;0;20;8.5;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;SI;73;3;1;17;51;5;0;948;71.273972603;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;UHCD;12;0;0;10;1;1;5;49;50.833333333;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";TRMUT;ZAUM;133;12;9;52;62;19;0;1724;57.59112164;TRMUT;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;CA;16;13;13;0;16;0;14;2;37.6875;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;HP;1;0;0;0;1;0;1;0;12;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;REA;83;10;8;25;43;15;2;1057;61.698795181;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;SC;192;1;0;9;183;0;8;480;4.4862157534;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;SI;449;28;9;96;329;24;7;4354;66.258351893;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;UHCD;3632;96;21;815;2679;138;783;14305;58.897697785;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";URG;ZAUM;2318;436;161;220;2025;73;89;12597;42.393514721;URG;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";DOM;HP;341;0;0;0;341;0;340;2;52.938416422;DOM;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";DOM;ZAUM;170;0;0;32;131;7;8;1751;60.141176471;DOM;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";TRMUT;ZAUM;168;0;0;79;75;14;0;1751;77.982142857;TRMUT;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";URG;ZAUM;2;0;0;0;1;1;0;9;47;URG;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";DOM;HP;4;0;0;0;4;0;4;0;80.75;DOM;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";DOM;ZAUM;136;0;0;41;87;8;1;1581;82;DOM;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";TRMUT;ZAUM;77;0;0;33;33;11;1;1010;82.857142857;TRMUT;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";URG;ZAUM;117;0;0;39;70;8;1;1541;87.777777778;URG;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";DOM;HP;8;0;0;0;8;0;8;0;81.75;DOM;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";DOM;ZAUM;26;0;0;7;17;2;0;282;83.692307692;DOM;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";TRMUT;ZAUM;221;0;0;116;82;23;0;2937;82.013574661;TRMUT;2023.7;X600100572;28AUG23;12:51:09
