"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU3;6;641;26069.47;26069.47;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU3;7;634;25784.78;25784.78;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;1;189;9312.03;9312.03;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;2;171;8425.17;8425.17;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;3;190;9260.6;9260.6;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;4;172;8383.28;8383.28;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;5;251;12233.74;12233.74;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;6;223;10869.02;10869.02;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";FU4;7;191;9309.34;9309.34;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE1;3;71;1940.43;1940.43;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE1;4;64;1749.12;1749.12;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE1;5;57;1557.81;1557.81;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE1;6;86;2350.38;2350.38;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE1;7;47;1284.51;1284.51;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE2;3;338;4231.76;4231.76;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE2;4;251;3142.52;3142.52;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE2;5;295;3693.4;3693.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE2;6;286;3580.72;3580.72;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";PE2;7;211;2641.72;2641.72;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;1;1031;25321.36;25321.36;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;2;905;22226.8;22226.8;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;3;19;470.82;470.82;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;4;20;495.6;495.6;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;5;9;223.02;223.02;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;6;22;545.16;545.16;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SAS;7;16;396.48;396.48;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;1;300;15633;15633;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;2;290;15111.9;15111.9;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;3;332;17350.32;17350.32;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;4;325;16984.5;16984.5;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;5;316;16514.16;16514.16;0;0;0;2023.7;X590780227;10AUG23;13:22:39
