"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:39";="620003350";999910011;1;0.0270782562;100;3693;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:37";="590000600";000000000;971;99.897119342;99.897119342;971;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:37";="590000600";200000000;1;0.1028806584;100;972;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";000000000;9197;97.622333086;97.622333086;9197;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";000000010;2;0.0212291689;97.643562255;9199;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";200000000;11;0.1167604288;97.760322683;9210;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:15";="620025346";999910011;211;2.2396773166;100;9421;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";000000000;3125;99.585723391;99.585723391;3125;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";000000010;2;0.063734863;99.649458254;3127;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";200000000;5;0.1593371574;99.808795411;3132;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:47";="590001749";999910011;6;0.1912045889;100;3138;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:58";="590781670";000000000;1098;99.909008189;99.909008189;1098;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:58";="590781670";000000010;1;0.0909918107;100;1099;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";000000000;23743;98.551386352;98.551386352;23743;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";000000010;155;0.6433670928;99.194753445;23898;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";200000000;150;0.6226133156;99.817366761;24048;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:18";="020000261";999910011;44;0.1826332392;100;24092;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";000000000;29406;99.361378611;99.361378611;29406;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";000000001;1;0.0033789491;99.36475756;29407;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";000000010;37;0.1250211184;99.489778679;29444;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";200000000;63;0.2128737962;99.702652475;29507;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:19";="620100651";999910011;88;0.2973475249;100;29595;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:37";="620027839";000000000;22138;100;100;22138;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";000000000;16911;99.764025721;99.764025721;16911;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";000000010;1;0.005899357;99.769925078;16912;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";100000000;10;0.0589935697;99.828918648;16922;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";200000000;27;0.1592826382;99.988201286;16949;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:11";="590780284";999910011;2;0.0117987139;100;16951;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:11";="020000287";000000000;5600;99.715099715;99.715099715;5600;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:11";="020000287";000000010;3;0.0534188034;99.768518519;5603;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:11";="020000287";100000000;1;0.0178062678;99.786324786;5604;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:11";="020000287";200000000;12;0.2136752137;100;5616;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";000000000;30910;98.653134176;98.653134176;30910;2023.7;X590797353;30AUG23;10:32:13
