"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;pu;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;spec_fx;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";GS;25;1320;33000;24712.5;1320;33000;24712.5;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";MCC;3.27;320;1046.4;887.3145;320;1046.4;887.3145;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";MCG;5;1787;8935;6676.5;1787;8935;6676.5;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";MCS;5;19999;99995;78845.5;19998;99990;78842;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";MOP;5;2825;14125;14125;2824;14120;14120;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";MPC;2;20060;40120;31624.8;20059;40118;31623.4;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";TC;23;164;3772;3019.9;164;3772;3019.9;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";TCG;25;3;75;52.5;3;75;52.5;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";TMF;-24;384;-9216;-9216;348;-8352;-8352;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";AMI;3.15;739;2327.85;1597.365;739;2327.85;1597.365;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";AMI N;3.15;9;83.28;55.52;9;83.28;55.52;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";APC;50;1578;78900;60455;1578;78900;60455;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";APC;55;758;41690;32100.75;758;41690;32100.75;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";B;0.26;75158;19541.08;14453.283;73865;19204.9;14177.891;0;2023.7;X600100648;25AUG23;11:32:38
