"champ";"statut";"annee";"periode";"date du resultat";"ipe";factur18;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";Non facturation du TMF;13572;82.085399782;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";Facturation du TMF;2962;17.914600218;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:34";="020000287";Non facturation du TMF;4887;87.019230769;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:34";="020000287";Facturation du TMF;729;12.980769231;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";Non facturation du TMF;26519;87.164738364;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:31";="590797353";Facturation du TMF;3905;12.835261636;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:12";="590782421";Non facturation du TMF;39674;91.118715693;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:12";="590782421";Facturation du TMF;3867;8.8812843067;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:33";="800000051";Non facturation du TMF;531;99.252336449;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:33";="800000051";Facturation du TMF;4;0.7476635514;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:00";="800000135";Non facturation du TMF;190;100;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:06";="590782165";Non facturation du TMF;8648;74.551724138;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:06";="590782165";Facturation du TMF;2952;25.448275862;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:03";="620101360";Non facturation du TMF;13612;86.84999681;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:03";="620101360";Facturation du TMF;2061;13.15000319;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:42";="590781662";Non facturation du TMF;2988;87.164527421;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:42";="590781662";Facturation du TMF;440;12.835472579;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:28";="590781621";Non facturation du TMF;4370;99.726152442;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:28";="590781621";Facturation du TMF;12;0.2738475582;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:17";="590052056";Non facturation du TMF;5832;58.666130168;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:17";="590052056";Facturation du TMF;4109;41.333869832;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:33:49";="590781795";Non facturation du TMF;863;99.538638985;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:33:49";="590781795";Facturation du TMF;4;0.461361015;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:46";="620100677";Non facturation du TMF;3235;100;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:19";="590781415";Non facturation du TMF;30091;89.227256553;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:19";="590781415";Facturation du TMF;3633;10.772743447;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:20";="620103440";Non facturation du TMF;43103;92.019811703;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:20";="620103440";Facturation du TMF;3738;7.9801882966;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:21";="800000085";Non facturation du TMF;1502;100;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:46:48";="590780193";Non facturation du TMF;118222;88.893400405;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:48";="590780193";Facturation du TMF;14771;11.106599595;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:24:55";="020004404";Non facturation du TMF;6901;74.848156182;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:55";="020004404";Facturation du TMF;2319;25.151843818;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:29";="590781605";Non facturation du TMF;11044;77.922810979;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:29";="590781605";Facturation du TMF;3129;22.077189021;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:04";="590781811";Non facturation du TMF;138;100;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:36";="800000093";Non facturation du TMF;2641;85.111182726;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:36";="800000093";Facturation du TMF;462;14.888817274;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";Non facturation du TMF;32167;92.147931706;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";Facturation du TMF;2741;7.8520682938;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:24";="020000048";Non facturation du TMF;400;100;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:32";="590782215";Non facturation du TMF;60949;88.261530664;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:32";="590782215";Facturation du TMF;8106;11.738469336;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:12";="620100685";Non facturation du TMF;36006;89.593908629;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:12";="620100685";Facturation du TMF;4182;10.406091371;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:36";="800000069";Non facturation du TMF;3037;90.011855365;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:36";="800000069";Facturation du TMF;337;9.9881446354;2023.7;X800000069;31AUG23;18:53:23
