"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;5;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;6;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;2;7;7;16.7089848;16.7089848;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;1;6294.443667;6294.443667;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;2;6294.443667;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;3;6294.443667;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;4;6294.443667;9.094947E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;5;6357.662037;63.21837;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;6;6357.662037;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;1;7;6357.662037;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;2;3591.8175885;3591.8175885;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;3;3591.8175885;4.547474E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;4;6825.9447855;3234.127197;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;5;6825.9447855;9.094947E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;6;6983.9615955;158.01681;2023.7;X600100168;09AUG23;14:38:36
