"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;rac_raac;eff;eff_rac;eff_rac2;pct_raac;pct_raac2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";08C22;1;10;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";08C24;1;25;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";08C25;1;6;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";08C48;1;20;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";10C13;1;10;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";12C11;1;1;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";13C03;1;53;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";13C14;1;10;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:49";="620101337";13C15;1;10;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";06C04;1;5;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";08C22;1;3;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";08C24;1;33;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";08C25;1;8;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";08C27;1;1;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";08C48;1;37;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";10C13;1;17;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";13C03;1;20;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:35";="590782652";13C15;1;2;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:38";="600100648";06C04;1;11;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:38";="600100648";06C07;1;1;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:38";="600100648";08C24;1;4;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:38";="600100648";08C25;1;1;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:38";="600100648";08C48;1;3;0;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";01C05;0;24;11;0;45.833333333;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";01C08;0;8;1;0;12.5;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";01C14;0;39;2;0;5.1282051282;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";01C15;0;115;4;0;3.4782608696;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C02;0;1;1;0;100;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C04;0;15;4;0;26.666666667;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C13;0;18;5;0;27.777777778;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C14;0;86;9;0;10.465116279;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C21;0;23;8;0;34.782608696;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C31;0;10;7;0;70;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C32;0;35;28;0;80;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C33;0;17;8;0;47.058823529;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C34;0;76;13;0;17.105263158;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C35;0;15;1;0;6.6666666667;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C37;0;50;3;0;6;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C38;0;19;1;0;5.2631578947;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C39;0;12;7;0;58.333333333;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C40;0;26;3;0;11.538461538;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C42;0;42;6;0;14.285714286;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C43;0;17;9;0;52.941176471;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C44;0;56;1;0;1.7857142857;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C45;0;52;4;0;7.6923076923;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C46;0;26;1;0;3.8461538462;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C47;0;8;1;0;12.5;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C50;0;7;4;0;57.142857143;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C51;0;56;5;0;8.9285714286;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C54;0;21;6;0;28.571428571;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C57;0;7;1;0;14.285714286;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C58;0;189;33;0;17.46031746;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C60;0;13;3;0;23.076923077;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C62;0;4;1;0;25;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08K02;0;33;1;0;3.0303030303;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08M19;0;1;1;0;100;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08M30;0;11;1;0;9.0909090909;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";06C04;1;6;0;0;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C22;1;54;44;0;81.481481481;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C24;1;501;483;0;96.407185629;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C25;1;53;47;0;88.679245283;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C27;1;242;160;0;66.115702479;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C48;1;274;258;0;94.160583942;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:24";="620000026";08C52;1;117;84;0;71.794871795;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";06C03;1;3;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";06C04;1;48;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";06C07;1;6;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";08C22;1;26;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";08C24;1;87;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";08C25;1;23;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";08C48;1;68;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";10C13;1;3;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";12C11;1;1;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";13C03;1;39;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";13C14;1;5;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";13C15;1;8;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";06C03;1;1;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";06C04;1;45;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";08C22;1;16;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";08C24;1;34;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";08C25;1;6;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";08C27;1;14;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";08C48;1;43;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";10C13;1;35;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";11C02;1;1;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";13C03;1;32;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";13C14;1;1;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:49";="020000261";13C15;1;4;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";04C02;1;1;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";04C04;1;19;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";06C03;1;4;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";06C04;1;67;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";06C07;1;9;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";06C16;1;3;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";07C09;1;4;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";08C22;1;17;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";08C24;1;67;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";08C25;1;19;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";08C48;1;52;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";10C13;1;21;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";13C03;1;12;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:43";="620100651";13C15;1;4;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";01C05;0;4;2;0;50;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";05M09;0;236;1;0;0.4237288136;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C02;0;2;1;0;50;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C46;0;18;1;0;5.5555555556;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C47;0;53;2;0;3.7735849057;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C61;0;25;2;0;8;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";10C11;0;11;2;0;18.181818182;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";10C12;0;43;4;0;9.3023255814;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";21C05;0;23;2;0;8.6956521739;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";04C02;1;14;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";04C04;1;30;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";06C03;1;16;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";06C04;1;84;4;0;4.7619047619;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";06C07;1;20;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";06C16;1;10;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";07C09;1;27;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C22;1;24;8;0;33.333333333;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C24;1;68;46;1;67.647058824;1.4705882353;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C25;1;20;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C27;1;62;15;0;24.193548387;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C48;1;87;68;0;78.16091954;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";08C52;1;17;6;0;35.294117647;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";10C13;1;71;58;0;81.690140845;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";11C02;1;14;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:41";="590780284";12C11;1;23;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";06C04;1;3;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";06C07;1;4;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";08C22;1;1;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";08C24;1;4;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";08C48;1;7;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";13C03;1;4;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:46";="020000287";13C15;1;2;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";06C04;1;50;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";06C07;1;17;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";06C16;1;1;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";08C22;1;14;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";08C24;1;32;1;0;3.125;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";08C25;1;14;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";08C48;1;22;2;0;9.0909090909;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";08C52;1;1;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";13C03;1;37;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:45";="590797353";13C14;1;9;0;0;0;0;2023.7;X590797353;30AUG23;10:32:13
