"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;3;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;4;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;5;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;6;139250.60035;139250.60035;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;6;7;139250.60035;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;2;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;3;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;4;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;5;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;6;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;11;7;7;137529.90943;137529.90943;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;1;686.95558281;686.95558281;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;2;686.95558281;-1.13687E-13;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;3;686.95558281;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;4;686.95558281;1.136868E-13;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;5;686.95558281;-1.13687E-13;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;6;686.95558281;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;1;7;686.95558281;1.136868E-13;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;2;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;2;2;488.79340644;488.79340644;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000036;80;2;3;488.79340644;0;2023.7;X800000036;08AUG23;14:40:54
