"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;mnt_br;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";CFU;1;11.12;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";FPV;1;8.49;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";FU1;2;55.06;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";FU2;1;35.21;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";FU3;1;41.11;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";FU4;1;49.27;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SB2;1;52.11;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SB3;1;54.27;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SIC;1;53.48;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SSN;1;24.71;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SU2;3;43.59;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SU3;2;38.76;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SUF;2;20.84;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SUM;2;25.32;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/04 16:02:47";="620103432";SUN;3;117.9;2023.7;X620103432;04SEP23;16:02:33
