"champ";"statut";"annee";"periode";"date du resultat";"ipe";COUNT;PERCENT;pctcum;effcum;cret33;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 13:42:07";="800000135";190;100;100;190;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:14";="590782165";11891;100;100;11891;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:12";="620101360";15734;100;100;15734;0;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:50";="590781662";3428;100;100;3428;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:36";="590781621";4377;99.885896851;99.885896851;4377;0;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:36";="590781621";5;0.1141031492;100;4382;;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:24";="590052056";9945;100;100;9945;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:25";="590781795";867;100;100;867;0;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:53";="620100677";3252;99.969259145;99.969259145;3252;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:53";="620100677";1;0.0307408546;100;3253;;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:27";="590781415";34436;99.892669626;99.892669626;34436;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:27";="590781415";37;0.1073303745;100;34473;;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:30";="620103440";46841;100;100;46841;0;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:29";="800000085";1499;99.800266312;99.800266312;1499;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:29";="800000085";3;0.1997336884;100;1502;;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:46:55";="590780193";135260;99.884799433;99.884799433;135260;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:55";="590780193";156;0.1152005671;100;135416;;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:03";="020004404";9292;99.97848074;99.97848074;9292;0;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:03";="020004404";2;0.0215192597;100;9294;;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:38";="590781605";14172;99.992944331;99.992944331;14172;0;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:38";="590781605";1;0.0070556692;100;14173;;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:11";="590781811";138;100;100;138;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:44";="800000093";3102;99.967773123;99.967773123;3102;0;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:44";="800000093";1;0.0322268772;100;3103;;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:15";="600100713";34907;99.994270818;99.994270818;34907;0;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:15";="600100713";2;0.0057291816;100;34909;;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:31";="020000048";396;99;99;396;0;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:31";="020000048";4;1;100;400;;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:40";="590782215";69197;99.959552185;99.959552185;69197;0;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:40";="590782215";28;0.0404478151;100;69225;;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:22";="620100685";40233;99.995029203;99.995029203;40233;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:22";="620100685";2;0.0049707966;100;40235;;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:44";="800000069";3503;100;100;3503;0;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:40";="020000071";225;99.557522124;99.557522124;225;0;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:40";="020000071";1;0.4424778761;100;226;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:38";="600100721";20886;99.995212333;99.995212333;20886;0;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:38";="600100721";1;0.004787667;100;20887;;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:08";="620100057";30283;100;100;30283;0;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:20";="600101984";32424;99.96300407;99.96300407;32424;0;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:20";="600101984";12;0.0369959304;100;32436;;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:07:49";="800000028";15781;99.974659487;99.974659487;15781;0;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:07:49";="800000028";4;0.0253405131;100;15785;;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:37";="590783239";27619;99.905950443;99.905950443;27619;0;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:37";="590783239";26;0.0940495569;100;27645;;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:12:58";="590785374";4661;99.785913081;99.785913081;4661;0;2023.7;X590785374;01SEP23;16:12:38
