"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M202;1215;1;5246.759856;5004.6565772;97.05;1180.9;51.6;0.08;1232.58;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M203;1216;3;16027.056604;14837.606586;97.44;5118.18;668.8;0.82;5787.8;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M204;1217;1;10132.180539;8979.6664461;98.5;3028.98;930;0.67;3959.65;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M22Z;1223;11;8381.708313;7295.1269071;96.232727273;2363.73;713.4;0.9;3078.03;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M22Z;1253;1;381.084483;362.73043231;95.86;202.36;0;0.02;202.38;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";04M23Z;1225;2;3944.483479;3521.8797583;95.52;1090;216.4;3.17;1309.57;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C084;1457;1;30518.671872;29827.797815;99.14;5689.16;209;7.62;5905.78;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C101;1462;1;7653.696888;7396.920671;99.72;809.82;178.2;3.72;991.74;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C102;1463;1;11111.217156;10890.765102;99.81;1955.69;118.8;2.91;2077.4;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C112;1467;1;7899.587358;7767.6049531;99.83;1332.55;59.4;3.95;1395.9;2023.7;X590780193;31AUG23;11:45:29
