"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:25:06";="020000055";;Nombre de séjours/séances en SU valorisés;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:51";="590782652";1;Nombre de séjours/séance en SU;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:51";="590782652";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:51";="590782652";1;Nombre de séjours/séances en SU valorisés;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:18";="590780052";;Nombre de séjours/séance en SU;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:18";="590780052";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:18";="590780052";;Nombre de séjours/séances en SU valorisés;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:23";="600100648";;Nombre de séjours/séance en SU;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:23";="600100648";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:23";="600100648";;Nombre de séjours/séances en SU valorisés;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";;Nombre de séjours/séance en SU;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";;Nombre de séjours/séances en SU valorisés;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:46";="590065223";;Nombre de séjours/séance en SU;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:46";="590065223";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:46";="590065223";;Nombre de séjours/séances en SU valorisés;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:22:04";="620003350";;Nombre de séjours/séance en SU;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:04";="620003350";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:04";="620003350";;Nombre de séjours/séances en SU valorisés;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:53";="590000600";;Nombre de séjours/séance en SU;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:53";="590000600";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:53";="590000600";;Nombre de séjours/séances en SU valorisés;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:38";="620025346";;Nombre de séjours/séance en SU;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:38";="620025346";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:38";="620025346";;Nombre de séjours/séances en SU valorisés;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:41:06";="590001749";2;Nombre de séjours/séance en SU;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:06";="590001749";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:06";="590001749";2;Nombre de séjours/séances en SU valorisés;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:16";="590781670";;Nombre de séjours/séance en SU;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:16";="590781670";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:16";="590781670";;Nombre de séjours/séances en SU valorisés;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";33;Nombre de séjours/séance en SU;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";33;Nombre de séjours/séances en SU valorisés;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:53";="620100651";1;Nombre de séjours/séance en SU;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:53";="620100651";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:53";="620100651";1;Nombre de séjours/séances en SU valorisés;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:41:09";="620027839";;Nombre de séjours/séance en SU;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:09";="620027839";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:09";="620027839";;Nombre de séjours/séances en SU valorisés;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";7;Nombre de séjours/séance en SU;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";7;Nombre de séjours/séances en SU valorisés;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";3;Nombre de séjours/séance en SU;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";3;Nombre de séjours/séances en SU valorisés;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:07";="590797353";34;Nombre de séjours/séance en SU;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:07";="590797353";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:07";="590797353";34;Nombre de séjours/séances en SU valorisés;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:48";="590782421";25;Nombre de séjours/séance en SU;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:48";="590782421";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:48";="590782421";25;Nombre de séjours/séances en SU valorisés;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:41";="800000051";;Nombre de séjours/séance en SU;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:41";="800000051";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:41";="800000051";;Nombre de séjours/séances en SU valorisés;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:51";="800000135";;Nombre de séjours/séance en SU;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:51";="800000135";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:51";="800000135";;Nombre de séjours/séances en SU valorisés;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:19";="590782165";2;Nombre de séjours/séance en SU;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:19";="590782165";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:19";="590782165";2;Nombre de séjours/séances en SU valorisés;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:22";="620101360";1;Nombre de séjours/séance en SU;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:22";="620101360";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:22";="620101360";1;Nombre de séjours/séances en SU valorisés;2023.7;X620101360;30AUG23;14:38:44
