"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nbj;nb0j;nb;nbame;nbsu;nbcmuc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";05M08T;1;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";05M17T;0;25;25;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C042;7;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C121;3;0;3;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C12J;0;2;2;2;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C141;2;0;2;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C191;2;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C241;4;0;2;1;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C251;1;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06C25J;0;2;2;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06M032;15;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06M072;5;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";06M121;2;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07C131;4;0;3;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07C141;8;0;8;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07M061;2;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07M063;5;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07M082;5;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";07M08T;0;4;4;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";08M102;21;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";08M301;2;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";09C081;6;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";09C211;0;2;2;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";09C25J;0;1;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";09C26J;0;2;2;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";09M073;6;0;1;0;0;0;2023.7;X600100168;11AUG23;8:30:51
