"champ";"statut";"annee";"periode";"date du resultat";"ipe";col1;col2;col3;_name_;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;sansrsfp;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;sansrsfb;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;mnt_ok;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;mnt_diff;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;mnt_diffp;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";0;0;0;mnt_diffb;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;sansrsfp;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;sansrsfb;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;mnt_ok;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;mnt_diff;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;mnt_diffp;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:55";="590781605";0;0;0;mnt_diffb;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:45";="020000253";0;0;0;sansrsfp;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:45";="020000253";0;0;0;sansrsfb;2023.7;X020000253;24AUG23;12:29:35
