"champ";"statut";"annee";"periode";"date du resultat";"ipe";cl_age_cov;ponder;ponder_cn;dms;pct_homme;pct_dc;pct_rea;nb_rea;pct_sc;nb_sc;pct_si;nb_si;moy_igs_rea;med_igs_rea;moy_igs_sc;med_igs_sc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";0-17;;;;;;;;;;;;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";18-39;;;;;;;;;;;;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";40-59;2;2;8.5;100;0;0;0;0;0;0;0;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";60-69;1;1;39;100;0;0;0;0;0;0;0;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";70-79;2;2;9.5;0;0;0;0;0;0;0;0;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";80-89;8;8;9.5;62.5;0;0;0;0;0;0;0;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";>90;2;2;8;50;0;0;0;0;0;0;0;;;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";0-17;;;;;;;;;;;;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";18-39;;;;;;;;;;;;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";40-59;;;;;;;;;;;;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";60-69;1;1;11;100;0;0;0;0;0;0;0;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";70-79;8;8;22.5;62.5;0;0;0;0;0;0;0;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";80-89;17;17;16.352941176;47.058823529;5.8823529412;0;0;0;0;0;0;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:08";="590782645";>90;10;10;17;30;0;0;0;0;0;0;0;;;;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";0-17;;;;;;;;;;;;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";18-39;;;;;;;;;;;;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";40-59;;;;;;;;;;;;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";60-69;1;1;13;100;100;0;0;0;0;0;0;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";70-79;2;2;6;50;0;0;0;0;0;0;0;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";80-89;4;4;12;0;0;0;0;0;0;0;0;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";>90;6;6;12.833333333;33.333333333;0;0;0;0;0;0;0;;;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";0-17;1;1;0;100;0;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";18-39;2;2;0;0;0;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";40-59;4;4;15.5;75;0;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";60-69;9;9;27.777777778;33.333333333;0;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";70-79;12;12;23;41.666666667;8.3333333333;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";80-89;22;22;15.318181818;40.909090909;18.181818182;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";>90;9;9;18;22.222222222;22.222222222;0;0;0;0;0;0;;;;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";0-17;;;;;;;;;;;;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";18-39;;;;;;;;;;;;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";40-59;;;;;;;;;;;;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";60-69;;;;;;;;;;;;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";70-79;1;1;8;100;0;0;0;0;0;0;0;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";80-89;9;9;13.222222222;22.222222222;11.111111111;0;0;0;0;0;0;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";>90;3;3;10;100;0;0;0;0;0;0;0;;;;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";0-17;;;;;;;;;;;;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";18-39;5;5;0.2;60;0;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";40-59;16;16;4.875;68.75;0;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";60-69;10;10;5.4;60;0;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";70-79;23;23;3.6086956522;43.47826087;4.347826087;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";80-89;41;41;7.5365853659;41.463414634;9.756097561;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";>90;14;14;7.5;35.714285714;14.285714286;0;0;0;0;0;0;;;;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";0-17;;;;;;;;;;;;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";18-39;3;3;11.666666667;100;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";40-59;2;2;16;100;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";60-69;2;2;12.5;50;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";70-79;1;1;18;100;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";80-89;16;16;19.4375;31.25;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";>90;7;7;15.285714286;0;0;0;0;0;0;0;0;;;;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";0-17;;;;;;;;;;;;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";18-39;1;1;21;0;0;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";40-59;4;4;2.5;50;0;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";60-69;5;5;3;80;0;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";70-79;11;11;13.181818182;63.636363636;9.0909090909;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";80-89;17;17;9.0588235294;17.647058824;0;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";>90;13;13;11;38.461538462;23.076923077;0;0;0;0;0;0;;;;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";0-17;;;;;;;;;;;;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";18-39;;;;;;;;;;;;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";40-59;;;;;;;;;;;;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";60-69;2;2;2.5;50;0;0;0;0;0;0;0;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";70-79;4;4;12;25;25;25;3;0;0;0;0;27;27;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";80-89;3;3;26.666666667;0;0;0;0;0;0;0;0;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";>90;;;;;;;;;;;;;;;;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";0-17;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";18-39;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";40-59;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";60-69;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";70-79;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";80-89;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";>90;;;;;;;;;;;;;;;;2023.7;X590065223;29AUG23;13:23:00
