"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";62;11;30.555555556;11;22.727272727;84.272727273;84;54.545454545;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";71;2;5.5555555556;2;10.5;88;88;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";72;2;5.5555555556;2;16.5;88;88;50;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";74;1;2.7777777778;1;38;84;84;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";8;11;30.555555556;11;12.818181818;81;82;45.454545455;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";87;8;22.222222222;8;19.5;88.625;90;25;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:09";="590782645";9;1;2.7777777778;1;0;85;85;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";62;2;15.384615385;2;12.5;91.5;91.5;50;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";63;1;7.6923076923;1;4;89;89;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";71;2;15.384615385;2;17;89.5;89.5;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";72;1;7.6923076923;1;21;84;84;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";8;4;30.769230769;4;8.5;85.5;86.5;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";87;2;15.384615385;2;9.5;81.5;81.5;100;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";9;1;7.6923076923;1;13;63;63;100;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";62;8;13.559322034;8;21.375;82.25;85.5;37.5;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";71;7;11.86440678;7;12.714285714;69.770645793;85;28.571428571;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";72;4;6.7796610169;4;72;78.25;76.5;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";8;33;55.93220339;33;11.727272727;73.212121212;73;39.393939394;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";9;7;11.86440678;7;21.714285714;85.714285714;86;71.428571429;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";62;4;30.769230769;4;13.25;87;88;50;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";73;1;7.6923076923;1;11;91;91;100;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";8;7;53.846153846;7;11.285714286;88.142857143;87;42.857142857;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";9;1;7.6923076923;1;14;87;87;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";62;10;9.1743119266;10;9.2;76.8;82.5;50;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";71;22;20.183486239;22;1.9545454545;72.409090909;76;59.090909091;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";72;4;3.6697247706;4;16.25;85;87.5;50;2023.7;X590782652;29AUG23;9:28:13
