"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8115346;8115346;22213.197;9;24226.7535;22213.197;9;24226.7535;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8115613;8115613;493.59;2;496.065;493.59;2;496.065;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8115808;8115808;492.78;2;495.24;492.78;2;495.24;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8115843;8115843;123.54;1;124.16;123.54;1;124.16;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8119261;8119261;6762.375;10;6753.07;6762.375;10;6753.07;-9.09495E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8119290;8119290;9600.665;14;10947.1025;9600.665;14;10947.1025;-1.81899E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8119367;8119367;3673.31;7;4191.655;3673.31;7;4191.655;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8119864;8119864;619.34;2;622.44;619.34;2;622.44;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8119901;8119901;174.98;1;175.855;174.98;1;175.855;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8120838;8120838;1858.02;6;1867.32;1858.02;6;1867.32;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8120844;8120844;2170.36;2;2181.22;2170.36;2;2181.22;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8120850;8120850;36780.653;42;36964.6165;36780.653;42;36964.6165;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8120933;8120933;24026.24;31;24146.365;24026.24;31;24146.365;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8120979;8120979;6466.248;205;6498.774;6466.248;205;6498.774;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121312;8121312;31023.967;48;31339.1375;31023.967;48;31339.1375;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121708;8121708;24527.169;128;31263.2645;24527.169;128;31263.2645;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121714;8121714;3595.95;3;3613.935;3595.95;3;3613.935;0;2023.7;X590780193;05SEP23;14:08:27
