"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;ghm_m;ghm_b;ponder_b;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14C08A;15M06B;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14C08C;15M07A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z13A;15M05A;83;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z13A;15M05B;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z13A;15M05C;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z13A;15M06A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z13A;15M08A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14A;15M05A;159;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14A;15M05B;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14A;15M05C;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14A;15M06A;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14A;15M07A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14B;15M05A;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";2;14Z14C;15M05A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";3;14C07A;15M08A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";3;14C07B;15M11A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";3;14C07B;15M12A;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";3;14Z12A;15M06B;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";4;14C07A;15M05B;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";4;14Z11A;15M02Z;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";4;14Z12A;15M05B;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:08";="020000253";4;14Z12A;15M06B;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C03A;15M05B;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M05B;7;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M05C;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M06B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M06D;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M07A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08A;15M08A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08B;15M05B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08B;15M06B;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08B;15M07A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08B;15M13B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M07A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M09A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M09B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M10A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M11A;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M12A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08C;15M13B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08D;15M11A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14C08D;15M14B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z12B;15M09A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M05A;5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M05B;11;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M05C;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M06A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M06B;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M09A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13A;15M12B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M05A;5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M05B;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M05D;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M06A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M06B;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M07A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M11B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13B;15M14B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13C;15M05A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13C;15M08A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13C;15M10A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13C;15M11B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13D;15M08A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13D;15M09A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z13T;15M05C;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M05A;5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M05B;6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M05C;4;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M05D;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M06A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";1;14Z14A;15M06B;2;2023.7;X620101337;25AUG23;12:05:23
