"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";6;;1;5;70;70;0;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:28";="620003350";99;;5;9;78.8;80;60;0;0;20;9999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:28";="590000600";99;;;;;0;;;;;9999;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";99;;;;;0;;;;;9999;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";1;;3;9;76.666666667;71;66.666666667;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";3;;1;27;94;94;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";4;;1;0;25;25;100;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";5;;1;34;78;78;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";6;;1;4;61;61;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:36";="590001749";99;;7;13.142857143;69.714285714;71;42.857142857;0;0;0;9999;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:46";="590781670";1;;1;19;86;86;0;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:46";="590781670";3;;1;0;76;76;100;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:46";="590781670";99;;2;9.5;81;81;50;0;0;0;9999;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:01";="020000261";1;;1;23;88;88;0;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:01";="020000261";99;;1;23;88;88;0;0;0;0;9999;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";1;;4;8.5;74;71.5;75;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";2;;4;0;75;76.5;50;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";3;;8;2.875;74.375;74;50;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";5;;1;0;74;74;100;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";6;;4;0;67.75;73;75;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";7;;1;9;70;70;100;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:57";="620100651";99;;22;3;73;74;63.636363636;0;0;0;9999;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:20";="620027839";99;;;;;0;;;;;9999;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:53";="590780284";2;;1;7;65;65;100;0;0;0;2023;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:53";="590780284";4;;2;3.5;72;72;50;0;0;0;2023;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:53";="590780284";99;;3;4.6666666667;69.666666667;65;66.666666667;0;0;0;9999;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";2;;1;14;87;87;0;0;0;100;2023;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";5;;1;5;71;71;0;0;0;0;2023;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";6;;1;8;89;89;100;0;0;0;2023;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:58";="020000287";99;;3;9;82.333333333;87;33.333333333;0;0;33.333333333;9999;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:00";="590797353";1;;2;8;81;81;50;0;0;100;2023;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:00";="590797353";2;;2;2.5;50.5;50.5;50;0;0;50;2023;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:00";="590797353";3;;1;0;77;77;0;0;0;0;2023;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:00";="590797353";5;;1;33;66;66;0;0;0;0;2023;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:00";="590797353";99;;6;9;67.666666667;70.5;33.333333333;0;0;50;9999;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";1;;5;6.6;66;76;60;0;0;0;2023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";2;;1;9;73;73;100;0;0;0;2023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";3;;4;2.75;68;78.5;25;0;0;0;2023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";4;;2;7.5;79;79;0;0;0;0;2023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";6;;1;36;65;65;100;100;0;100;2023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:44";="590782421";99;;13;8;69.076923077;73;46.153846154;7.6923076923;0;7.6923076923;9999;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:58";="800000051";2;;1;6;79;79;100;0;0;0;2023;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:58";="800000051";99;;1;6;79;79;100;0;0;0;9999;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:18";="800000135";3;;1;55;74;74;100;0;0;0;2023;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:18";="800000135";99;;1;55;74;74;100;0;0;0;9999;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";1;;4;2.25;74.75;86.5;0;0;0;0;2023;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";2;;1;33;94;94;100;0;0;0;2023;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";3;;1;4;89;89;0;0;0;0;2023;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";6;;1;40;75;75;100;0;0;100;2023;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";7;;1;0;58;58;100;0;0;0;2023;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:31";="590782165";99;;8;10.75;76.875;86.5;37.5;0;0;12.5;9999;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";1;;6;3.8333333333;82.666666667;87;50;0;0;0;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";2;;1;11;91;91;0;0;0;0;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";4;;2;15.5;75.5;75.5;0;0;0;0;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";5;;3;5.3333333333;82.333333333;83;33.333333333;0;33.333333333;0;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";6;;3;22.333333333;85.666666667;87;0;0;0;0;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";7;;1;23;56;56;100;100;0;100;2023;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:32";="620101360";99;;16;10.6875;81.125;86;31.25;6.25;6.25;6.25;9999;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:07";="590781662";1;;1;2;72;72;100;0;0;0;2023;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:07";="590781662";99;;1;2;72;72;100;0;0;0;9999;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:54";="590781621";1;;1;11;83;83;100;0;0;100;2023;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:54";="590781621";5;;1;0;32;32;100;0;0;0;2023;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:54";="590781621";99;;2;5.5;57.5;57.5;100;0;0;50;9999;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:38";="590052056";99;;;;;0;;;;;9999;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:53";="590781795";5;;1;14;89;89;0;0;0;0;2023;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:53";="590781795";7;;2;6.5;72;72;0;0;0;0;2023;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:53";="590781795";99;;3;9;77.666666667;72;0;0;0;0;9999;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:06";="620100677";1;;1;20;84;84;0;0;0;0;2023;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:06";="620100677";3;;2;17;86;86;100;0;0;0;2023;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:06";="620100677";4;;3;7.3333333333;49.666666667;55;66.666666667;0;0;0;2023;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:06";="620100677";5;;2;14.5;88.5;88.5;0;0;0;0;2023;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:06";="620100677";99;;8;13.125;72.75;84.5;50;0;0;0;9999;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:46";="590781415";2;;1;1;76;76;0;0;0;0;2023;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:46";="590781415";3;;2;17.5;35;35;50;50;0;50;2023;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:46";="590781415";5;;1;11;84;84;0;0;0;0;2023;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:46";="590781415";99;;4;11.75;57.5;60.5;25;25;0;25;9999;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:55";="620103440";1;;2;18;75;75;100;0;0;0;2023;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:55";="620103440";2;;1;8;85;85;100;0;0;0;2023;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:55";="620103440";6;;2;1;83.5;83.5;0;0;0;0;2023;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:55";="620103440";99;;5;9.2;80.4;76;60;0;0;0;9999;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:42";="800000085";99;;;;;0;;;;;9999;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";1;;7;1.8571428571;76.428571429;75;42.857142857;0;0;0;2023;2023.7;X590780193;31AUG23;11:45:29
