"champ";"statut";"annee";"periode";"date du resultat";"ipe";col1;col2;col3;_name_;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 21:29:28";="590000188";14;3087.15;0;mnt_ok;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:28";="590000188";0;0;0;mnt_diff;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:28";="590000188";0;0;0;mnt_diffp;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:28";="590000188";0;0;0;mnt_diffb;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";0;0;0;sansrsfp;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";0;0;0;sansrsfb;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";0;0;0;mnt_ok;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";23;0;0;mnt_diff;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";23;35089.23;0;mnt_diffp;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:33";="590782215";0;0;0;mnt_diffb;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";0;0;0;sansrsfp;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";1;1408.77;0;sansrsfb;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";0;0;0;mnt_ok;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";0;0;0;mnt_diff;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";0;0;0;mnt_diffp;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:39";="600101984";0;0;0;mnt_diffb;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";0;0;0;sansrsfp;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";0;0;0;sansrsfb;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";179;1260823.24;0;mnt_ok;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";0;0;0;mnt_diff;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";0;0;0;mnt_diffp;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:06";="590780193";0;0;0;mnt_diffb;2023.7;X590780193;05SEP23;14:38:10
