"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_fjs_ame;mnt_tjp20_ame;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";05M07T;5296;1;0;1;340.88172809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194.138;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";06C14J;1982;1;0;1;1120.7532173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.192;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";06K04J;2121;1;0;1;645.06655832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.192;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";06M031;2129;1;2;0;1377.7953278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;388.276;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";11C11J;4162;1;0;1;1701.3505656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.192;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";11C13J;4172;1;0;1;1501.4835326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.192;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";11M042;4294;1;3;0;2223.6141446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;722.91;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";01C15J;83;1;0;1;878.6803272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";01M122;239;1;8;0;3205.876596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1859.568;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";03C24J;702;1;0;1;2405.7284784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262.768;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";03M03T;875;1;1;0;555.6654272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M05T;5188;1;1;0;301.99208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M111;5194;1;1;0;430.7324112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;228.946;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M181;1205;1;3;0;2077.4551824;0;0;0;0;0;0;0;0;931.8262824;0;0;0;0;0;0;0;20;1165.304;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M252;1228;1;5;0;2296.0289624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1147.58;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M25T;1231;1;1;0;873.6222344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";04M25T;5255;1;1;0;470.3546672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";06K02Z;5366;1;1;0;432.071484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;228.946;0;0;2023.7;X620101337;25AUG23;12:05:23
