"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ATENATIV;F10;1;7;2552.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";BAVENCIO;C67;1;4;2660.07;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CABAZITAXEL;C61;8;8;4084;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;J46;1;8;286.42;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;D70;1;6;240.16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;K72;1;6;150.67;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;K65;1;5;217.19;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;C54;1;4;91.89;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;J44;1;3;171.24;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CASPOFUNGINE;J15;1;1;35.81;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CLOTTAFACT;K72;1;14;9040.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CLOTTAFACT;R57;1;4;2542.3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";CLOTTAFACT;R31;1;2;1271.15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ENTYVIO;K51;4;4;5463.92;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ENTYVIO;D50;2;2;2731.96;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ERBITUX;C20;18;37;28588.15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ERBITUX;C18;25;26;20996.83;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ERBITUX;C09;11;16;9044.8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";FIBROGAMMIN;D68;5;15;2680.15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";FLIXABI;M05;1;3;261.63;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";HERCEPTIN;C50;3;3;3715.66;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";HIZENTRA;D80;2;3;1378.35;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";HYQVIA;D80;3;4;4583.02;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KADCYLA;C50;5;15;42296.8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KANOKAD;S06;2;17;1025.59;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KANOKAD;R04;1;10;654.16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KANOKAD;K72;1;4;234.83;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KANOKAD;K51;1;3;185.31;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KANOKAD;K65;1;2;130.83;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";KEYTRUDA;C34;6;12;31764.54;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";MVASI;C18;26;63;4303.88;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";MVASI;C20;14;20;2337.42;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";MVASI;C56;1;5;547.79;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";OPDIVO;C64;24;25;62029.27;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";OPDIVO;C67;6;6;14887.02;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";OPDIVO;C15;4;4;9924.68;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";OPDIVO;C09;2;2;4962.34;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ORENCIA;M06;17;51;13199.48;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PERJETA;C50;7;8;21033.27;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;D80;21;34;30885.05;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;D84;14;28;23584.98;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;C90;10;13;6437.92;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;G61;1;10;8423.15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;K81;1;6;5615.49;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;D47;5;5;5615.5;2023.7;X020000253;24AUG23;14:38:01
