"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;nbs1;nbs2;nbs3;nbs4;nb1;nb2;nb3;nb4;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 16:59:37";="620100685";Z3711;0;0;10;10;0;0;10;10;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:37";="620100685";Z3730;0;0;1;1;0;0;1;1;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:37";="620100685";Z3731;0;0;1;1;0;0;1;1;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/09/01 09:19:22";="600100721";Z3710;0;0;6;6;0;0;6;6;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:22";="600100721";Z3711;0;0;2;2;0;0;2;2;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:18";="620100057";Z3710;0;0;3;3;0;0;3;3;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:18";="620100057";Z3711;0;0;5;5;0;0;5;5;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:18";="620100057";Z3730;0;0;2;2;0;0;2;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:18";="620100057";Z3741;0;0;1;1;0;0;2;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:22:57";="600101984";Z3710;0;0;13;13;0;0;13;13;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:57";="600101984";Z3711;0;0;2;2;0;0;2;2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:57";="600101984";Z3730;0;0;1;1;0;0;1;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:57";="600101984";Z3731;0;0;1;1;0;0;1;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:29";="800000028";Z3710;0;0;2;2;0;0;2;2;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:29";="800000028";Z3711;0;0;1;1;0;0;1;1;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:24";="590783239";Z3710;0;0;2;2;0;0;2;2;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:24";="590783239";Z3711;0;0;6;6;0;0;6;6;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:30";="020000063";Z3710;0;0;7;7;0;0;7;7;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:30";="020000063";Z3711;0;0;1;1;0;0;1;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:56";="620103432";Z3710;0;0;4;4;0;0;4;4;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:56";="620103432";Z3711;0;0;2;2;0;0;2;2;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:22";="590782637";Z3710;0;0;2;2;0;0;2;2;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:22";="590782637";Z3711;0;0;1;1;0;0;1;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:19";="590781803";Z3710;0;0;2;2;0;0;2;2;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:45:48";="800000044";Z3710;0;0;11;11;0;0;11;11;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:48";="800000044";Z3711;0;0;10;10;0;0;10;10;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:48";="800000044";Z3731;0;0;1;1;0;0;1;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:48";="800000044";Z3741;0;0;1;1;0;0;2;2;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:48";="800000044";Z3770;0;0;1;1;0;0;3;3;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:44";="590781902";Z3710;0;0;6;6;0;0;6;6;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:44";="590781902";Z3711;0;0;2;2;0;0;2;2;2023.7;X590781902;07SEP23;20:00:41
