"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";20Z04;20Z042;7268;;3;37.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";20Z04;20Z043;7269;;3;37.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";20Z04;20Z044;7270;;2;25;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";23Z02;23Z02Z;7992;;1;2.7777777778;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";23Z02;23Z02Z;7993;***;35;97.222222222;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";28Z04;28Z04Z;9605;;3982;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";02C02;02C021;410;;1;3.2258064516;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";02C02;02C02J;414;;23;74.193548387;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";02C02;02C02J;474;***;7;22.580645161;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";02C11;02C11J;398;;1340;99.112426036;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";02C11;02C11J;454;***;12;0.8875739645;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";04M03;04M031;1134;;4;50;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";04M03;04M032;1135;;2;25;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";04M03;04M033;1136;;2;25;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";06C19;06C191;1991;;15;27.272727273;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";06C19;06C191;2014;***;1;1.8181818182;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";06C19;06C19J;1995;;26;47.272727273;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";06C19;06C19J;2013;***;13;23.636363636;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";08C61;08C611;2948;;1;33.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";08C61;08C612;2949;;1;33.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";08C61;08C613;2950;;1;33.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";08C62;08C621;2952;;2;66.666666667;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";08C62;08C622;2953;;1;33.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C18;09C181;3421;;1;100;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C19;09C191;3431;;3;30;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C19;09C191;3435;***;5;50;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C19;09C192;3432;;2;20;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C201;3441;;8;6.106870229;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C201;3446;***;11;8.3969465649;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C201;3586;***;2;1.5267175573;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C202;3447;***;1;0.7633587786;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C20J;3440;;26;19.847328244;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C20J;3445;***;50;38.167938931;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C20J;3585;***;26;19.847328244;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C20;09C20J;3590;***;7;5.3435114504;2023.7;X620003376;25AUG23;10:37:19
