"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:11:44";="020000287";0;Factures avec code PII ou PME sans APE;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:44";="020000287";0;Factures avec PH8 sans APE;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:44";="020000287";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:09";="800000077";0;Factures avec APE sans code PI,PME, PH8;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:09";="800000077";0;Factures avec code PII ou PME sans APE;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:09";="800000077";0;Factures avec PH8 sans APE;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:09";="800000077";0;Factures avec code PII ou PME  et code PH8;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:48";="590785374";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:48";="590785374";0;Factures avec code PII ou PME sans APE;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:48";="590785374";0;Factures avec PH8 sans APE;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:48";="590785374";0;Factures avec code PII ou PME  et code PH8;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";0;Factures avec code PII ou PME sans APE;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";0;Factures avec PH8 sans APE;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:49";="590782645";0;Factures avec code PII ou PME  et code PH8;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:17";="590782421";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:17";="590782421";0;Factures avec code PII ou PME sans APE;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:17";="590782421";0;Factures avec PH8 sans APE;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:17";="590782421";0;Factures avec code PII ou PME  et code PH8;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:08";="020000063";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:08";="020000063";5;Factures avec code PII ou PME sans APE;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:08";="020000063";0;Factures avec PH8 sans APE;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:08";="020000063";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;Factures avec code PII ou PME sans APE;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;Factures avec PH8 sans APE;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;Factures avec code PII ou PME  et code PH8;2023.7;X020004495;28AUG23;15:42:08
