"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nba;nboka;montanta;nbb;nbokb;montantb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";3400894078036;9407803;CRIFA01;9407803;56;56;299;56;56;299;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";3400894178941;9417894;NXXXX00;9417894;8;8;141.055;8;8;141.055;0;2023.7;X590780193;05SEP23;14:08:27
