"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nba;nboka;montanta;nbb;nbokb;montantb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011167;9001116;CCASI02;9001116;56;56;0;56;56;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011167;9001116;CCASI04;9001116;2;2;0;2;2;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011167;9001116;NXXXX00;9001116;2;0;0;2;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011310;9001131;CETES01;9001131;6;6;0;6;6;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011310;9001131;NXXXX00;9001131;2;0;0;2;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012270;9001227;NRISA02;9001227;60;52;0;60;52;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012270;9001227;NXXXX00;9001227;38;38;0;38;38;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012287;9001228;NRISA02;9001228;18;14;0;18;14;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012287;9001228;NXXXX00;9001228;20;20;0;20;20;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012645;9001264;CIDEC01;9001264;10;10;3559535;10;10;3559535;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890013307;9001330;NIVOS04;9001330;60;60;14034.74;60;60;14034.74;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890013574;9001357;NXXXX00;9001357;1;0;0;2;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890014304;9001430;CANIF01;9001430;1;1;1330.25;1;1;1330.25;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890015943;9001594;NCELL01;9001594;4;3;1449239.25;4;3;1449239.25;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890015998;9001599;CTAFA01;9001599;111.52;111.52;88691.97;111.52;111.52;88691.97;-2.91038E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890016223;9001622;CAVAL01;9001622;1980;1980;2320806.258;1980;1980;2320806.258;-1.396984E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890016643;9001664;CSACI01;9001664;15.777;10.777;11782.322;15.777;10.777;11782.322;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890016643;9001664;NXXXX00;9001664;33.154;33.154;36246.741;33.154;33.154;36246.741;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890016995;9001699;CLUTE01;9001699;25;25;534914.1;25;25;534914.1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890018586;9001858;CSOTO01;9001858;240;240;7520.36;240;240;7520.36;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019064;9001906;CTIXA01;9001906;689;679;0;685;675;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019064;9001906;CTIXA02;9001906;4;4;0;4;4;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019064;9001906;NXXXX00;9001906;665;651;0;663;649;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019101;9001910;CIVAL01;9001910;56;56;7489.65;56;56;7489.65;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019453;9001945;CAMIV01;9001945;9;9;13388.4;9;9;13388.4;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019514;9001951;CPEGC01;9001951;32;32;108080.32;32;32;108080.32;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019651;9001965;NXXXX00;9001965;12;12;0;12;12;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019729;9001972;NXXXX00;9001972;95;0;0;95;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019743;9001974;CSOTR01;9001974;221;219;0;221;219;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019743;9001974;NXXXX00;9001974;166;0;0;166;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019927;9001992;NTEBE01;9001992;47.38;47.38;598999.288;47.38;47.38;598999.288;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019958;9001995;CSACI01;9001995;70.47;21.67;23691.54;70.47;21.67;23691.54;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890020718;9002071;NXXXX00;9002071;40;40;0;40;40;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890021562;9002156;CAVAC01;9002156;180;180;7105.14;180;180;7105.14;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890021630;9002163;NXXXX00;9002163;8;8;0;8;8;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890022910;9002291;COLIP01;9002291;128;128;351478.667;128;128;351478.667;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890025737;9002573;CTEBE01;9002573;9;9;109230.759;9;9;109230.759;1.455192E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890025768;9002576;CTECL01;9002576;1;0;0;1;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890025768;9002576;NTECL01;9002576;1;1;0;1;1;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890026499;9002649;CINEB01;9002649;6;6;144008.62;6;6;144008.62;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890026536;9002653;CTECL01;9002653;1;1;966.4;1;1;966.4;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890026543;9002654;CTECL01;9002654;2;2;9857.16;2;2;9857.16;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890256971;9025697;NXXXX00;9025697;60;60;77.5;60;60;77.5;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891906059;9190605;NXXXX00;9190605;12.584;0;0;33.343;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891906059;9190605;SANS;9190605;57.998;0;0;208.504;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891906288;9190628;NXXXX00;9190628;16.3;0;0;53.82;0;0;0;2023.7;X590780193;05SEP23;14:08:27
