"champ";"statut";"annee";"periode";"date du resultat";"ipe";modent;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:37";="600100572";85;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:44";="020000055";8;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/30 13:42:22";="800000135";85;1;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/09/01 16:13:15";="590785374";85;1;2023.7;X590785374;01SEP23;16:12:38
