"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0036;29;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0038;29;P;01/01/2021;1;212;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";01/01/2015;020000394;0044;29;P;23/06/2003;0;;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0044;29;P;01/01/2015;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0048;29;P;27/04/1995;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0049;29;P;01/01/2021;1;212;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0051;29;P;01/01/2021;1;212;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0010;40;P;01/01/2013;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0003;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0019;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0024;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0025;53;P;23/06/2000;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0030;53;P;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0031;53;P;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0032;53;P;23/06/2000;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0040;53;P;01/10/2016;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0041;53;P;01/01/2021;1;212;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0043;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0045;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0046;53;C;01/01/2012;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0047;53;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0053;53;P;23/01/2000;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0004;61;P;23/06/2000;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0021;61;C;01/01/2008;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0028;70;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0011;71;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0050;71;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0009;73;P;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0027;73;C;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:13";="020000253";;020000394;0033;73;P;01/01/2005;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";01/01/2023;620003376;0009;02B;C;01/01/2021;10;10;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";27/04/2020;620003376;0001;03A;C;20/03/2020;30;;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";01/01/2021;620003376;0009;03A;C;26/11/2010;10;;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0009;03A;C;01/01/2023;10;2120;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0011;07A;C;04/09/1997;5;1060;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0003;29;C;01/02/2010;9;1908;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0005;29;P;11/09/2017;5;1060;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0006;29;C;07/10/2009;19;4028;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0007;29;C;04/09/1997;21;4452;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0008;29;C;18/09/2020;11;2332;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0014;29;C;04/09/1997;20;4240;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";20/03/2020;620003376;0001;53;C;01/05/2016;30;;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0001;53;C;27/04/2020;30;6360;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0002;53;P;01/10/2012;14;2968;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0004;53;C;04/09/1997;41;8692;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0010;53;C;01/05/2016;30;6360;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0012;53;C;04/09/1997;37;7844;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";;620003376;0013;53;P;04/09/1997;34;7208;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0032;01A;C;01/01/2005;12;2544;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0031;02A;C;01/01/2005;6;1272;1;2023.7;X620101337;25AUG23;12:05:23
