"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nb_cont;mnt_br_cont;mnt_am_cont;nb_rh;mnt_br_rh;mnt_am_rh;nb_re;mnt_br_re;mnt_am_re;nb_pl;mnt_br_pl;mnt_am_pl;nb_inter;mnt_br_inter;mnt_am_inter;nb_uhcd;mnt_br_uhcd;mnt_am_uhcd;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";04M05T;0;0;0;0;0;0;0;0;0;4;2854.133604;2555.6657192;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";04M13T;0;0;0;0;0;0;0;0;0;1;908.043708;721.34992164;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";04M16T;0;0;0;0;0;0;0;0;0;1;845.157278;839.24117705;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";05M05T;0;0;0;0;0;0;0;0;0;1;709.979205;705.00935057;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";05M08T;0;0;0;0;0;0;0;0;0;1;963.841749;957.09485676;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";05M09T;0;0;0;0;0;0;0;0;0;1;827.314112;821.52291322;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";05M13T;0;0;0;0;0;0;0;0;0;3;2151.767709;1851.8112904;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";06M12T;0;0;0;0;0;0;0;0;0;1;706.280718;561.06940238;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";06M17T;0;0;0;0;0;0;0;0;0;1;566.03489;449.65811662;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";07M02T;0;0;0;0;0;0;0;0;0;1;780.240435;619.82300156;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";08M221;0;0;0;0;0;0;0;0;0;1;844.726719;838.81363197;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";08M37T;0;0;0;0;0;0;0;0;0;1;749.930883;595.74509346;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";09M03T;0;0;0;0;0;0;0;0;0;3;2596.307805;2578.1336504;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";09M05T;0;0;0;0;0;0;0;0;0;0;0;0;1;326.14842;323.86538106;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";11M02T;0;0;0;0;0;0;0;0;0;1;806.901615;801.2533037;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";11M04T;0;0;0;0;0;0;0;0;0;1;643.956056;639.44836361;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";19M02T;0;0;0;0;0;0;0;0;0;1;601.169517;596.96133038;0;0;0;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";01M11T;1;686.681527;545.49980505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
