"champ";"statut";"annee";"periode";"date du resultat";"ipe";titre;nb;periode;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées;16960;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées standardisées;15791.559306;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Performance Globale;0.9311060912;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées;38004;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées standardisées;36975.395921;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Performance Globale;0.9729343206;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Nombre  de journées;972;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Nombre  de journées standardisées;840.30655431;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Performance Globale;0.864512916;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Nombre  de journées;2541;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Nombre  de journées standardisées;2619.5331768;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:37";="800000077";Performance Globale;1.0309064057;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Nombre  de journées;1106;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Nombre  de journées standardisées;1027.3173813;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Performance Globale;0.9288583917;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Nombre  de journées;3026;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Nombre  de journées standardisées;2713.5695177;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";Performance Globale;0.8967513277;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Nombre  de journées;861;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Nombre  de journées standardisées;769.42605786;0;2023.7;X600100572;28AUG23;12:51:09
