"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";K;0;0;60;0;3;1;0;0;63;1;64;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";M;1;0;69;0;0;1;0;0;70;1;71;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";Z;0;0;0;5;0;85;0;0;0;90;90;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:19";="620003350";K;0;0;1;0;0;0;0;0;1;0;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:19";="620003350";M;0;0;300;0;0;180;0;0;300;180;480;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:19";="620003350";Z;0;0;0;0;0;65;0;0;0;65;65;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:22";="590000600";M;0;0;2;0;0;1;0;0;2;1;3;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:22";="590000600";Z;0;0;0;0;0;5;0;0;0;5;5;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";C;1;0;448;0;11;3;0;0;460;3;463;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";K;0;0;106;0;13;1;0;0;119;1;120;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";M;1;0;30;2;0;54;0;0;31;56;87;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:57";="620025346";Z;0;0;0;3;0;43;0;0;0;46;46;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";K;1;0;46;1;0;0;0;0;47;1;48;2023.7;X590001749;29AUG23;14:40:05
