"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dp;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:33:36";="590797353";90Z00Z;Z511;4;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/31 16:59:40";="620100685";90Z00Z;Z512;3;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:17";="800000069";90Z00Z;Z512;3;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:17";="800000069";90Z00Z;Z5130;1;2023.7;X800000069;31AUG23;18:53:23
