"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE1;85.78;320;27320.58688;23837.459646;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE2;65.14;118;7642.706836;6515.7314212;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE2;68.64;252;17215.982784;14483.287104;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE3;43.41;12.5;539.5320375;466.1556804;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE3;45.74;12;546.300264;482.5652332;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE4;21.7;69;1488.76539;1285.948076;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SE4;22.87;99;2253.488589;1925.7084306;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE1;81.41;326;25756.74003;22422.585339;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE1;85.78;746;61963.337404;53650.17492;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE2;65.14;15;948.27555;885.05718;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE2;68.64;59;3921.382608;3761.8687392;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE3;43.41;59;2485.634895;2098.044369;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE3;45.74;72;3188.883024;2719.4085788;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE4;21.7;2;42.1197;33.69576;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE4;22.87;8;177.160168;172.7311638;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE6;293.96;1;285.28818;228.230544;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE7;111;3;323.1765;323.1765;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";SE7;116.96;9;1019.271312;1019.271312;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE1;81.41;12;971.351556;841.8380152;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE1;85.78;23;1963.667182;1690.4613132;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE2;65.14;13;841.993126;841.993126;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE2;68.64;26;1776.252192;1762.5887136;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE4;21.7;9;194.18679;172.61048;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SE4;22.87;21;478.012731;396.0676914;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE1;81.41;148;11980.002524;10838.664446;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE1;85.78;318;27149.833212;24810.50796;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE2;65.14;60;3886.12212;3860.2146392;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE2;68.64;192;13116.939264;13041.790133;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE3;43.41;9;388.463067;353.9330166;0;0;0;2023.7;X620101337;25AUG23;12:06:41
