"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;gestion;comp;abs;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;00;9900;***;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;10;9910;;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;11;9911;;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;23;9923;;33;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;24;9924;;102;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:43";="600100168";99;A1;99A1;***;2;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;07;0107;***;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;08;0108;***;6;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;10;0110;;42109;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;11;0111;;16085;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;12;0112;;3468;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;18;0118;;1158;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;23;0123;;1270;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;29;0129;;2772;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;34;0134;;9;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;65;0165;;22;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;80;0180;***;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;89;0189;;5644;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";01;90;0190;;494;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";02;10;0210;;11;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";02;A1;02A1;;1323;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";02;A2;02A2;;463;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;04;0404;;284;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;10;0410;;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;11;0411;;192;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;12;0412;;7;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;40;0440;;1;2023.7;X590780227;10AUG23;13:22:39
