"champ";"statut";"annee";"periode";"date du resultat";"ipe";datedeb;typ_um;nblits;date_fin;nbj;nbsupp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:40:58";="590001749";01/01/2023;02;0;;212;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:58";="590001749";01/01/2023;03;0;;212;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:06";="590781670";01/01/2023;02;0;;212;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:06";="590781670";01/01/2023;03;0;;212;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:59";="020000261";01/01/2023;02;10;;212;2120;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:59";="020000261";01/01/2023;03;4;;212;848;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:38";="620100651";01/01/2023;02;17;;212;3604;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:38";="620100651";01/01/2023;03;8;;212;1696;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:59";="620027839";01/01/2023;02;0;;212;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:59";="620027839";01/01/2023;03;0;;212;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:24";="590780284";01/01/2023;02;18;;212;3816;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:24";="590780284";01/01/2023;03;6;;212;1272;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";01/01/2023;02;10;;212;2120;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";01/01/2023;03;4;;212;848;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:47";="590797353";01/01/2023;02;6;;212;1272;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:47";="590797353";01/01/2023;03;12;;212;2544;2023.7;X590797353;30AUG23;10:32:13
