"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3120271;3120271;2023;01;3966.8;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3418823;3418823;2023;02;1380;1;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3120271;3120271;2023;04;3966.8;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3143148;3143148;2023;01;962.31;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3199321;3199321;2023;02;615.33;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3186293;3186293;2023;06;89.32;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3199321;3199321;2023;06;615.33;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;01;369.591;6;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;02;369.591;6;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;03;123.197;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;04;739.182;12;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;05;123.197;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;06;123.197;2;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;07;369.591;6;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:26:38";="590781605";3127942;3127942;2023;06;1208;1;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2022;12;44.63;1;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3234141;3234141;2022;12;49.64;1;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2023;02;223.15;5;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2023;03;89.26;2;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2023;04;133.89;3;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2023;05;44.63;1;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3234141;3234141;2023;05;49.64;1;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3163659;3163659;2023;06;89.26;2;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:36";="800000093";3234141;3234141;2023;06;99.28;2;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/09/01 09:19:46";="600100721";5205617;5205617;2023;03;2257.96;6;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:46";="600100721";5227777;5227777;2023;03;409.1;1;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:46";="600100721";5287319;5287319;2023;03;409.1;1;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3114715;3114715;2023;01;296.87;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3120762;3120762;2023;01;262.44;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3145785;3145785;2023;01;157.15;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3180215;3180215;2023;01;453.38;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3187045;3187045;2023;01;1032.46;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;01;113.14;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";8141705;8141705;2023;01;770.58;9;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;02;226.28;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3112917;3112917;2023;03;161.4;5;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3114715;3114715;2023;03;593.74;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3120762;3120762;2023;03;524.88;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3145785;3145785;2023;03;157.15;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3180215;3180215;2023;03;906.76;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3187045;3187045;2023;03;2064.92;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;03;791.98;7;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;04;339.42;3;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3112917;3112917;2023;05;96.84;3;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3114715;3114715;2023;05;296.87;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3120762;3120762;2023;05;262.44;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3145785;3145785;2023;05;157.15;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3146572;3146572;2023;05;878.11;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3180215;3180215;2023;05;453.38;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3187045;3187045;2023;05;1032.46;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3189050;3189050;2023;05;437;2;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;05;678.84;6;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3135663;3135663;2023;06;367.65;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3146572;3146572;2023;06;878.11;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3168591;3168591;2023;06;1037.9;5;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3189050;3189050;2023;06;655.5;3;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;06;1018.26;9;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3146572;3146572;2023;07;878.11;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:40";="620100057";3197753;3197753;2023;07;791.98;7;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3157570;3157570;2023;02;118.536;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3111390;3111390;2023;03;312.765;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3112917;3112917;2023;03;61.168;2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3120041;3120041;2023;03;507.813;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3163659;3163659;2023;03;37.937;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3165517;3165517;2023;03;702.028;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3187045;3187045;2023;03;991.151;1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3171535;3171535;2023;05;1299.992;2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:19";="600101984";3190857;3190857;2023;05;1056.159;6;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";3120041;3120041;2023;05;539.66;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";3120041;3120041;2023;06;1079.32;2;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:46";="590783239";3199321;3199321;2023;06;780.86;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/04 15:55:17";="620103432";3104987;3104987;2023;03;1389.804;1;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:41";="590782637";3112917;3112917;2023;07;31.86;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:41";="590782637";8144520;8144520;2023;07;42.48;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3124240;3124240;2023;01;393.874;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3138160;3138160;2023;01;161.826;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3161130;3161130;2023;01;74.757;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3175830;3175830;2023;01;211.422;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3197753;3197753;2023;01;214.967;2;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3198528;3198528;2023;01;759.306;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3107916;3107916;2023;02;795.31;5;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3124240;3124240;2023;02;393.874;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3161130;3161130;2023;02;149.514;2;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3175830;3175830;2023;02;211.422;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3107916;3107916;2023;03;159.062;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3124240;3124240;2023;03;393.874;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3161130;3161130;2023;03;74.757;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3189050;3189050;2023;04;1229.856;6;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3165517;3165517;2023;05;724;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3189050;3189050;2023;05;814.713;4;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3197753;3197753;2023;05;101.829;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3165517;3165517;2023;06;1448.86;2;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:42";="590781803";3165517;3165517;2023;07;724.43;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:53";="590780227";3198528;3198528;2023;05;782.79;1;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:53";="590780227";3187045;3187045;2023;06;1032.46;1;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3194269;3194269;2023;01;1948.24;4;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3184093;3184093;2023;02;878.11;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3194269;3194269;2023;02;1948.24;4;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3102385;3102385;2023;03;104.28;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3184093;3184093;2023;03;878.11;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:04";="590781902";3194269;3194269;2023;03;6818.84;14;2023.7;X590781902;07SEP23;20:00:41
