"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";INNOVATION;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";URGENCE;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";ATU;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";FFM;18733.732343;15373.253577;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";DIALYSE;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";FTN;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";CCAM;345695.32;276862.4895;280122.04;222421.8075;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";SE;11054.278243;10920.655906;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";NGAP;255998.4665;200696.0174;256022.4665;200720.0174;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";DMI;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";MED;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";INNOVATION;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:53";="590782439";URGENCE;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";ATU;27964.010388;24319.77774;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";FFM;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";DIALYSE;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";FTN;1367716.581;1367716.581;1308512.3455;1308512.3455;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";CCAM;1004947.99;830019.83596;949411.53;782718.46196;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";SE;28901.296012;25352.847951;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";NGAP;1381053.737;1119306.2057;1335067.259;1077055.0717;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";DMI;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";MED;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";INNOVATION;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";URGENCE;1136317.64;1136317.5949;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";ATU;20413.458227;16787.137502;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";FFM;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";DIALYSE;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";FTN;267131.994;267129.72749;236724.826;236722.5874;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";CCAM;1058308.56;861449.84748;946842.09;766869.79173;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";SE;73844.123084;63405.237005;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";NGAP;1026570.8755;831838.02542;995852.9455;806294.31939;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";DMI;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";MED;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";INNOVATION;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";URGENCE;772536.51;772536.47862;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";ATU;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";FFM;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";DIALYSE;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";FTN;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";CCAM;707135.11;591399.58439;617059.54;512030.15759;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";SE;100111.26937;87314.244406;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";NGAP;1393844.84;1109098.673;1394618.84;1109881.673;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";DMI;8452.62;8452.62;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";MED;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";INNOVATION;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";URGENCE;977572.6;977524.07247;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";ATU;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FFM;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DIALYSE;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FTN;350704.494;350702.08592;271373.1615;271370.75342;2023.7;X600100648;25AUG23;11:32:38
