"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;cpt;nb;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:56:26";="590781662";>=35 ans;4;11;18.032786885;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:17";="590781621";[15 ans- 25 ans[;2;34;28.571428571;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:17";="590781621";[25 ans- 35 ans[;3;53;44.537815126;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:17";="590781621";>=35 ans;4;32;26.890756303;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 10:38:18";="590781415";<15 ans;1;2;0.4728132388;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:18";="590781415";[15 ans- 25 ans[;2;147;34.75177305;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:18";="590781415";[25 ans- 35 ans[;3;178;42.080378251;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:18";="590781415";>=35 ans;4;96;22.695035461;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:24";="620103440";<15 ans;1;1;0.6451612903;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:24";="620103440";[15 ans- 25 ans[;2;54;34.838709677;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:24";="620103440";[25 ans- 35 ans[;3;68;43.870967742;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:24";="620103440";>=35 ans;4;32;20.64516129;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:50:05";="590780193";<15 ans;1;1;0.1540832049;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:50:05";="590780193";[15 ans- 25 ans[;2;271;41.756548536;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:50:05";="590780193";[25 ans- 35 ans[;3;242;37.288135593;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:50:05";="590780193";>=35 ans;4;135;20.801232666;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:03";="020004404";<15 ans;1;2;1.6;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:03";="020004404";[15 ans- 25 ans[;2;37;29.6;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:03";="020004404";[25 ans- 35 ans[;3;55;44;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:03";="020004404";>=35 ans;4;31;24.8;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:18";="590781605";<15 ans;1;2;1.1363636364;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:18";="590781605";[15 ans- 25 ans[;2;67;38.068181818;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:18";="590781605";[25 ans- 35 ans[;3;65;36.931818182;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:18";="590781605";>=35 ans;4;42;23.863636364;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:34:19";="800000093";[15 ans- 25 ans[;2;35;36.458333333;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:19";="800000093";[25 ans- 35 ans[;3;35;36.458333333;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:19";="800000093";>=35 ans;4;26;27.083333333;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:37";="600100713";<15 ans;1;1;0.4219409283;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:37";="600100713";[15 ans- 25 ans[;2;87;36.708860759;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:37";="600100713";[25 ans- 35 ans[;3;102;43.037974684;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:37";="600100713";>=35 ans;4;47;19.831223629;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:44:01";="590782215";<15 ans;1;1;0.2617801047;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:01";="590782215";[15 ans- 25 ans[;2;157;41.09947644;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:01";="590782215";[25 ans- 35 ans[;3;148;38.743455497;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:01";="590782215";>=35 ans;4;76;19.895287958;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:35";="620100685";<15 ans;1;2;0.4694835681;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:35";="620100685";[15 ans- 25 ans[;2;159;37.323943662;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:35";="620100685";[25 ans- 35 ans[;3;173;40.610328638;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:35";="620100685";>=35 ans;4;92;21.596244131;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:14";="800000069";[15 ans- 25 ans[;2;8;47.058823529;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:14";="800000069";[25 ans- 35 ans[;3;5;29.411764706;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:14";="800000069";>=35 ans;4;4;23.529411765;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 09:19:21";="600100721";[15 ans- 25 ans[;2;84;30.545454545;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:21";="600100721";[25 ans- 35 ans[;3;122;44.363636364;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:21";="600100721";>=35 ans;4;69;25.090909091;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:17";="620100057";<15 ans;1;1;2.1739130435;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:17";="620100057";[15 ans- 25 ans[;2;17;36.956521739;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:17";="620100057";[25 ans- 35 ans[;3;17;36.956521739;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:17";="620100057";>=35 ans;4;11;23.913043478;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:22:56";="600101984";[15 ans- 25 ans[;2;76;28.148148148;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:56";="600101984";[25 ans- 35 ans[;3;110;40.740740741;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:56";="600101984";>=35 ans;4;84;31.111111111;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:28";="800000028";<15 ans;1;4;2.9850746269;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:28";="800000028";[15 ans- 25 ans[;2;36;26.865671642;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:28";="800000028";[25 ans- 35 ans[;3;70;52.23880597;2023.7;X800000028;01SEP23;13:07:27
