"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dstot0;dstot1;dstot2;dstots2;duree;pct0;pct1;pct2;pcts2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 10:19:23";="600100648";09C271;2;0;0;0;2;100;0;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";01C051;1;7;6;3;17;5.8823529412;41.176470588;35.294117647;17.647058824;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C221;1;3;3;7;14;7.1428571429;21.428571429;21.428571429;50;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C241;3;127;44;25;199;1.5075376884;63.819095477;22.110552764;12.56281407;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C251;4;3;15;5;27;14.814814815;11.111111111;55.555555556;18.518518519;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C271;37;116;39;10;202;18.316831683;57.425742574;19.306930693;4.9504950495;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C311;1;1;5;1;8;12.5;12.5;62.5;12.5;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C331;5;7;4;0;16;31.25;43.75;25;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C481;3;150;22;12;187;1.6042780749;80.213903743;11.764705882;6.4171122995;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:13";="620000026";08C531;1;1;0;0;2;50;50;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";05C111;1;0;0;0;1;100;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";06C151;6;0;0;0;6;100;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";08C331;5;3;0;0;8;62.5;37.5;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";09C191;1;1;2;5;9;11.111111111;11.111111111;22.222222222;55.555555556;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";09C211;2;9;3;1;15;13.333333333;60;20;6.6666666667;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";11C031;2;0;1;1;4;50;0;25;25;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:44";="620025346";13C051;2;0;1;1;4;50;0;25;25;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";03C261;1;0;0;0;1;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";06C151;1;0;0;1;2;50;0;0;50;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";07C131;1;0;1;3;5;20;0;20;60;2023.7;X020000261;29AUG23;14:50:19
