"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;taux;mnt_rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";ATU;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";FFM;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";FTN;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";CCAM;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";SE;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";NGAP;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";DMI;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";MED;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:28";="600100572";URGENCE;0;0;0;0;0;0;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";ATU;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";FFM;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";FTN;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";CCAM;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";SE;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";NGAP;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";DMI;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";MED;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";URGENCE;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";ATU;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";FFM;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";FTN;1.15;106.9845;106.9845;0;0;0;1;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";CCAM;1;100.2;85.40046;1;100.2;85.40046;0.8523;14.79954;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";SE;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";NGAP;2321.5;890.295;767.1559815;2321.5;890.295;767.1559815;0.8561625;123.1390185;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";DMI;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";MED;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:01";="590781605";URGENCE;110;2953.59;2953.544897;0;0;0;0.9999790909;0.045103;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";ATU;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";FFM;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";FTN;33.2;2890.535;2888.2684933;26.05;2268.346;2266.1074023;0.9992;2.2665067;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";CCAM;1599;52175.51;42800.03798;1589;51628.59;42295.204232;0.827674359;9375.47202;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";SE;7;597.637838;546.65933042;0;0;0;0.9147;50.978507581;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";NGAP;172552;102721.78;88054.607044;170895;102095.3;87495.667012;0.8547430262;14667.172956;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";DMI;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";MED;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:51";="020000253";URGENCE;143;3550.06;3550.028624;0;0;0;0.9999888112;0.031376;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";ATU;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";FFM;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";FTN;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";CCAM;2;123.65;111.92739;1;27.65;23.24259;0.8822;11.72261;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";SE;1;83.060774;75.975689978;0;0;0;0.9147;7.0850840222;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";NGAP;2;110;93.302;2;110;93.302;0.8482;16.698;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";DMI;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
