"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:56";="600100572";Séjours valorisés;256;1235281.2211;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:56";="600100572";Dont séjours en hospitalisation complète;248;1230364.1682;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:56";="600100572";Dont séjours sans nuitée;8;4917.052935;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:56";="600100572";Dont séjours séances;0;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:08";="020004495";Séjours valorisés;2034;4255365.1146;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:08";="020004495";Dont séjours en hospitalisation complète;899;3392668.0861;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:08";="020004495";Dont séjours sans nuitée;1135;862697.02851;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:08";="020004495";Dont séjours séances;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:25:04";="020000055";Séjours valorisés;259;1333542.104;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:04";="020000055";Dont séjours en hospitalisation complète;258;1332812.8105;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:04";="020000055";Dont séjours sans nuitée;1;729.293526;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:04";="020000055";Dont séjours séances;0;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:44";="590782652";Séjours valorisés;8474;13271592.812;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:44";="590782652";Dont séjours en hospitalisation complète;3341;8948900.49;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:44";="590782652";Dont séjours sans nuitée;4073;3811590.4948;2023.7;X590782652;29AUG23;9:28:13
