"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";K;0;0;18;105;0;0;0;0;18;105;123;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";M;63;19;9;14;0;112;0;0;72;145;217;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";Z;8;11;0;0;0;46;0;0;8;57;65;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";C;11;0;171;1;0;780;0;0;182;781;963;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";K;0;0;67;0;0;662;0;0;67;662;729;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";M;152;0;338;3;0;1801;0;0;490;1804;2294;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";Z;8;0;4;0;0;827;0;0;12;827;839;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:00";="020000022";K;0;0;0;0;0;3;0;0;0;3;3;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:00";="020000022";M;94;1;78;6;0;306;0;0;172;313;485;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:00";="020000022";Z;0;0;0;2;0;102;0;0;0;104;104;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";K;0;0;1;0;0;3;0;0;1;3;4;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";M;65;52;193;302;0;368;0;0;258;722;980;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";Z;1;0;0;6;0;6;0;0;1;12;13;2023.7;X590782439;22AUG23;19:09:40
