"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;dmt;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:49:34";="590782652";FTR;035;55.66;286.3;15935.458;15935.458;253.65;14118.159;14118.159;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";FTN;035;93.03;2645.25;246087.6075;246087.43074;1955.3;181901.559;181901.38224;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTN;035;79.07;111;8776.77;8776.77;111;8776.77;8776.77;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTN;035;93.03;1785.85;166137.6255;166137.6255;1785.85;166137.6255;166137.6255;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTN;753;93.03;1;93.03;93.03;1;93.03;93.03;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTN;753;166.05;2804.15;465629.1075;465629.1075;2804.15;465629.1075;465629.1075;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTR;035;55.66;21.6;1202.256;1202.256;21.6;1202.256;1202.256;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";FTR;753;70.1;5;350.5;350.5;5;350.5;350.5;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";FTN;035;93.03;2511.65;233658.7995;233658.7995;2511.65;233658.7995;233658.7995;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:17";="590001749";FTN;035;93.03;3237.65;301198.5795;301198.5795;2893.7;269200.911;269200.911;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;035;68.88;959.5;66090.36;66089.899537;109.45;7538.916;7538.4624252;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;035;93.03;2444.35;227397.8805;227394.31094;2389.1;222257.973;222254.40344;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;750;1000;937;937000;937000;937;937000;937000;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;753;68.88;1;68.88;68.88;1;68.88;68.88;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;753;93.03;2;186.06;186.06;2;186.06;186.06;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTN;753;166.05;2516;417781.8;417779.24283;2387;396361.35;396358.79283;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTR;035;55.66;399.05;22211.123;22211.123;36.55;2034.373;2034.373;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:09";="620100651";FTR;750;550;2212;1216600;1216599.56;2212;1216600;1216599.56;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;035;13.95;1801;25123.95;25123.95;1541;21496.95;21496.95;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;035;93.03;3609;335745.27;335745.27;2917;271368.51;271368.51;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;753;166.05;1492;247746.6;247746.6;1491;247580.55;247580.55;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;753;171.97;17;2923.49;2923.49;16;2751.52;2751.52;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;753;195.91;2428;475669.48;475669.48;2399;469988.09;469988.09;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:07";="590780284";FTN;753;201.43;22;4431.46;4431.46;20;4028.6;4028.6;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTN;035;13.95;886;12359.7;12359.673495;690;9625.5;9625.473495;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTN;035;93.03;1730;160941.9;160941.54649;1117;103914.51;103914.15649;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTN;753;166.05;3778;627336.9;627336.9;3769;625842.45;625842.45;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTN;753;171.97;512;88048.64;88048.64;508;87360.76;87360.76;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTR;035;8.35;379;3164.65;3164.65;309;2580.15;2580.15;2023.7;X590797353;30AUG23;10:39:02
