"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;pbnb;nb_min;se;se_ssact;act;act_ssse;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";SE3;0;0;39;0;55;16;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";SE4;0;0;72;0;73;1;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";SE5;0;0;1;0;1;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";SE6;0;0;9;0;9;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";SE7;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE1;0;0;268;0;268;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE2;0;0;5;0;5;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE3;0;0;4;0;4;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE4;0;0;50;0;50;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE5;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE6;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";SE7;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE1;0;0;4;0;4;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE2;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE3;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE4;0;0;11;0;11;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE5;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE6;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";SE7;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE1;0;0;99;0;101;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE2;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
