"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";62;222;1.3986013986;176;1.2954511998;7.9624920534;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";63;10;0.063000063;12;0.0883262182;-28.67342867;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";71;621;3.9123039123;528;3.8863535993;0.6677290768;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";72;61;0.3843003843;48;0.3533048727;8.773021273;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";73;1;0.0063000063;1;0.0073605182;-14.40811441;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";74;95;0.5985005985;111;0.817017518;-26.7456835;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";76;4;0.0252000252;3;0.0220815545;14.122514123;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";8;14507;91.394191394;12278;90.37244222;1.1305981659;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";87;175;1.1025011025;216;1.589871927;-30.65472232;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:08";="020000253";9;177;1.1151011151;211;1.5530693361;-28.2001718;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";01;14;0.1069273658;12;0.0852757248;25.390157591;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";71;302;2.306576033;639;4.5409323479;-49.20479196;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";72;139;1.0616359887;198;1.4070494599;-24.54877963;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";73;1;0.007637669;4;0.0284252416;-73.13068052;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";74;50;0.3818834492;117;0.8314383172;-54.06953934;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";8;12479;95.310471244;12877;91.507959068;4.1553895588;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";87;51;0.3895211182;84;0.5969300739;-34.7459384;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:27";="620003376";9;57;0.4353471321;141;1.0019897669;-56.55173871;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";01;3;0.0172980453;8;0.0452207337;-61.74753503;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";62;300;1.7298045321;322;1.8201345317;-4.962819947;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";64;385;2.2199158162;384;2.1705952179;2.2722153751;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";66;4;0.0230640604;;0;;2023.7;X620101337;25AUG23;12:05:23
