"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:32";="600100572";71;12;92.307692308;12;12.166666667;84.5;88.5;33.333333333;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";62;3;5.0847457627;3;30.333333333;77.666666667;79;33.333333333;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";71;4;6.7796610169;4;17.25;84.25;84.5;25;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";8;33;55.93220339;33;18.696969697;76.981652138;82;39.393939394;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:39";="020004495";85;19;32.203389831;19;16.315789474;71.842105263;73;42.105263158;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";62;2;15.384615385;2;9.5;85.5;85.5;50;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";71;5;38.461538462;5;13.8;86;89;40;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:39";="020000055";8;6;46.153846154;6;11.5;90.333333333;88;50;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";71;3;2.752293578;3;6.3333333333;63;54;66.666666667;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";8;74;67.889908257;74;5.2297297297;74.405405405;80;45.945945946;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";85;32;29.357798165;32;7;76.1875;78.5;50;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";62;2;6.4516129032;2;14.5;97;97;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";71;7;22.580645161;7;18.571428571;86.428571429;86;28.571428571;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";8;19;61.290322581;19;16.473684211;72.105263158;83;52.631578947;2023.7;X590780052;29AUG23;9:48:30
