"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000501;5294.08;5294.086;2;0.003;5294.083;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000502;5294.08;5294.086;2;0.003;5294.083;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000526;21176.329;21176.344;8;0.006;21176.335;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000629;4964.1;4964.102;2;0.001;4964.101;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894250203;9425020;9425020;I000534;6126.24;6126.246;3;0.003;6126.243;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000284;1135.35;2429.406;18;647.028;1782.378;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000287;9434.04;20784.918;154;5675.439;15109.479;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000288;2144.1;4723.845;35;1289.8725;3433.9725;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000290;8208.84;18085.578;134;4938.369;13147.209;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000266;7383.977;7443.531;3;29.777;7413.754;2023.7;X600100168;11AUG23;8:30:51
