"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_val;qte_nvalo;qte_valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 21:29:24";="590000188";PCR-N (5271+9001);0;8;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 09:47:26";="590782215";PCR (5271);76;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:26";="590782215";PCR-F (5271+9004);27;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:26";="590782215";PCR-N (5271+9001);12;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:26";="590782215";PRA (5271+ 9005 ou 9006);110;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:50:02";="590781415";PCR (5271);368;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:02";="590781415";PCR-F (5271+9004);213;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:02";="590781415";PCR-N (5271+9001);416;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:02";="590781415";PRA (5271+ 9005 ou 9006);2019;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 12:34:05";="020004404";PCR (5271);0;3;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:05";="020004404";PRA (5271+ 9005 ou 9006);0;6;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 18:57:37";="800000069";PCR (5271);0;3;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/08/31 18:57:37";="800000069";PRA (5271+ 9005 ou 9006);0;5;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/09/01 13:04:17";="590782637";PCR (5271);0;3;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:17";="590782637";PRA (5271+ 9005 ou 9006);0;6;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:11";="620100057";PCR (5271);1;36;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:11";="620100057";PCR-F (5271+9004);0;1;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:11";="620100057";PRA (5271+ 9005 ou 9006);2;47;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 17:22:34";="600101984";PCR (5271);7;95;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:34";="600101984";PCR-F (5271+9004);3;10;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:34";="600101984";PCR-N (5271+9001);0;8;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/01 17:22:34";="600101984";PRA (5271+ 9005 ou 9006);14;152;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:05";="800000044";PCR (5271);3;2;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 11:00:05";="800000044";PRA (5271+ 9005 ou 9006);7;4;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/05 14:39:52";="590780193";PCR (5271);12;226;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:39:52";="590780193";PCR-F (5271+9004);5;40;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:39:52";="590780193";PCR-N (5271+9001);16;27;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:39:52";="590780193";PRA (5271+ 9005 ou 9006);32;238;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/07 20:06:51";="590781902";PCR (5271);5;26;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:51";="590781902";PCR-F (5271+9004);0;1;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:51";="590781902";PCR-N (5271+9001);0;3;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:51";="590781902";PRA (5271+ 9005 ou 9006);10;60;2023.7;X590781902;07SEP23;20:06:41
