"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006576;9000657;9000657;I000543;58.938;261820.277;262333.86293;58.938;261820.277;262333.86293;58.938;58.938;5.820766E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006576;9000657;9000657;I999999;381.241;1693586.893;1696909.0277;377.241;1675817.693;1679104.9717;383.241;379.241;17804.056;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006637;9000663;9000663;I999999;6;36520.84;36592.475;6;36520.84;36592.475;6;6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006644;9000664;9000664;I000515;2;23363.768;23402.964;2;23363.768;23402.964;2;2;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890006644;9000664;9000664;I999999;3;35045.652;35104.446;3;35045.652;35104.446;3;3;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890007139;9000713;9000713;I000203;31.138;28184.247;72748.17531;31.138;28184.247;72748.17531;33.138;33.138;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890010467;9001046;9001046;I999999;171;57824.726;48012.525;171;57824.726;48012.525;171;171;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890010481;9001048;9001048;I999999;518;350329.494;290882.9;518;350329.494;290882.9;518;518;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890010801;9001080;9001080;I000573;1;5607.79;5635.6385;1;5607.79;5635.6385;1;1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890010818;9001081;9001081;I000573;11;34075.932;34328.0905;11;34075.932;34328.0905;24;24;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011006;9001100;9001100;I999999;29;3530.46;3537.333;28;3408.72;3415.356;29;28;121.977;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011013;9001101;9001101;I999999;54;13147.381;13173.2195;53;12903.911;12929.271;54;53;243.9485;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011037;9001103;9001103;I999999;8;486.96;487.908;8;486.96;487.908;8;8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011570;9001157;9001157;I999999;160;44748.463;44836.2315;160;44748.463;44836.2315;160;160;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890011600;9001160;9001160;I999999;348;194655.688;195037.544;348;194655.688;195037.544;360;360;-5.82077E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012997;9001299;9001299;I000355;2958;1994694.762;1998402.615;2952;1990648.728;1994349.06;2984;2978;4053.555;2023.7;X590780193;05SEP23;14:08:27
