"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;COUNT;PERCENT;pcum;scum;count_atu;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDJD0010;2;0.0908265213;98.183469573;2162;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QAGA0010;2;0.0908265213;98.274296094;2164;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0020;2;0.0908265213;98.365122616;2166;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0200;2;0.0908265213;98.455949137;2168;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZGA0100;2;0.0908265213;98.546775658;2170;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZJA0110;2;0.0908265213;98.63760218;2172;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";YYYY0280;2;0.0908265213;98.728428701;2174;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DKRP0030;1;0.0454132607;98.773841962;2175;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DKRP0050;1;0.0454132607;98.819255223;2176;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EBQH0020;1;0.0454132607;98.864668483;2177;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQH0030;1;0.0454132607;98.910081744;2178;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQM0010;1;0.0454132607;98.955495005;2179;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";FCFA0210;1;0.0454132607;99.000908265;2180;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLKP0010;1;0.0454132607;99.046321526;2181;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLLP0030;1;0.0454132607;99.091734787;2182;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLMP0010;1;0.0454132607;99.137148047;2183;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HEQE0010;1;0.0454132607;99.182561308;2184;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HJQE0020;1;0.0454132607;99.227974569;2185;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HKFA0080;1;0.0454132607;99.273387829;2186;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HPJB0010;1;0.0454132607;99.31880109;2187;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDJD0020;1;0.0454132607;99.364214351;2188;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDKD0020;1;0.0454132607;99.409627611;2189;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDLD0010;1;0.0454132607;99.455040872;2190;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDQM0010;1;0.0454132607;99.500454133;2191;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JGHB0010;1;0.0454132607;99.545867393;2192;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JGHJ0010;1;0.0454132607;99.591280654;2193;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";NZMP0030;1;0.0454132607;99.636693915;2194;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QAJA0130;1;0.0454132607;99.682107175;2195;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0010;1;0.0454132607;99.727520436;2196;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0290;1;0.0454132607;99.772933697;2197;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZGA0020;1;0.0454132607;99.818346957;2198;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZGA0040;1;0.0454132607;99.863760218;2199;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZLA0040;1;0.0454132607;99.909173479;2200;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";YYYY1720;1;0.0454132607;99.954586739;2201;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";ZCQM0080;1;0.0454132607;100;2202;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";YYYY6000;7146;19.57540063;19.57540063;7146;7;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";DZQM0060;1948;5.3362553075;24.911655938;9094;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JKHD0010;1206;3.3036570333;28.215312971;10300;120;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQJ0030;852;2.3339268593;30.54923983;11152;440;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZBQK0010;756;2.070949185;32.620189015;11908;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ACQJ0020;750;2.0545130804;34.674702096;12658;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZBQK0020;721;1.975071908;36.649774004;13379;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQH0010;606;1.660046569;38.309820573;13985;5;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";YYYY0880;544;1.490206821;39.800027394;14529;79;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LHQK0050;521;1.4272017532;41.227229147;15050;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JQQM0160;513;1.405286947;42.632516094;15563;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JQQM0010;506;1.3861114916;44.018627585;16069;4;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JQQM0180;503;1.3778934393;45.396521025;16572;9;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";PBQM0020;452;1.2381865498;46.634707574;17024;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQJ0040;448;1.2272291467;47.861936721;17472;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NZQN0010;437;1.1970962882;49.059033009;17909;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JNQM0010;406;1.1121764142;50.171209423;18315;229;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";DEQP0030;401;1.0984796603;51.269689084;18716;4;2023.7;X590780227;10AUG23;13:22:39
