"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:41:05";="590001749";2;Nombre de séjours/séance en AME;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:05";="590001749";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:05";="590001749";2;Nombre de séjours/séances en AME valorisés;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:15";="590781670";;Nombre de séjours/séance en AME;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:15";="590781670";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:15";="590781670";;Nombre de séjours/séances en AME valorisés;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";135;Nombre de séjours/séance en AME;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:12";="020000261";135;Nombre de séjours/séances en AME valorisés;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:51";="620100651";48;Nombre de séjours/séance en AME;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:51";="620100651";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:51";="620100651";48;Nombre de séjours/séances en AME valorisés;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:41:08";="620027839";;Nombre de séjours/séance en AME;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:08";="620027839";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X620027839;29AUG23;16:39:44
