"champ";"statut";"annee";"periode";"date du resultat";"ipe";patient_cmu;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:40:20";="590001749";Non;2821;89.898024219;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:20";="590001749";Oui;311;9.9107711918;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:20";="590001749";X;6;0.1912045889;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:29";="590781670";Non;1036;94.267515924;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:29";="590781670";Oui;63;5.7324840764;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";Non;23007;95.49643035;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";Oui;1041;4.3209364104;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:38";="020000261";X;44;0.1826332392;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:32";="620100651";Non;27073;91.558727045;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:32";="620100651";Oui;2408;8.1436639724;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:32";="620100651";X;88;0.2976089824;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:01";="620027839";Non renseigné;22134;99.98193152;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:01";="620027839";Oui;4;0.0180684795;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:30";="590780284";Non renseigné;7644;46.232006774;2023.7;X590780284;30AUG23;8:35:11
