"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moist;moiss;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;1;1;33682749.31;33682749.31;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;2;1;38512259.242;4829509.9327;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;3;1;39091283.884;579024.64137;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;4;1;39253232.699;161948.81544;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;5;1;39305214.025;51981.325707;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;6;1;39370959.699;65745.674586;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;7;1;39486923.204;115963.50443;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;8;1;39538722.262;51799.058031;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;9;1;39574672.147;35949.885253;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;10;1;39586345.895;11673.74835;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;11;1;39606155.144;19809.248096;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;12;1;39818398.901;212243.75796;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:02";="590780193";590780193;11;13;1;-1.639128E-7;-1.639128E-7;2023.7;X590780193;05SEP23;14:08:27
