"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:46:50";="590781670";nb_sea_crit5;0;0;0;0;;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:50";="590781670";nb_sea_dis;1;71;95;0;;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_crit1;321;462;2402;0;3185;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_crit2;39;222;397;0;658;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_crit3;9;54;94;0;157;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_crit4;9;767;254;0;1030;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_crit5;0;0;0;0;;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:59";="590780284";nb_sea_dis;360;1397;3041;0;;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_crit1;378;1293;6382;0;8053;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_crit2;20;67;137;0;224;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_crit3;31;170;259;0;460;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_crit4;216;3352;4319;0;7887;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_crit5;0;0;0;0;;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:07";="590797353";nb_sea_dis;556;4182;10133;0;;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_crit1;1;0;7575;0;7576;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_crit2;5;65;277;0;347;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_crit3;13;22;585;0;620;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_crit4;50;1466;14847;0;16363;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_crit5;0;0;0;0;;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:52";="590782421";nb_sea_dis;68;1548;22028;0;;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_crit1;0;0;20;0;20;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_crit2;2;7;34;0;43;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_crit3;0;0;0;0;;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_crit4;0;21;5;0;26;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_crit5;0;0;0;0;;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:03";="800000051";nb_sea_dis;2;22;41;0;;2023.7;X800000051;30AUG23;12:11:16
