"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:33";="020000022";nbjh0;4777;4122;15.890344493;3290;3142;4.710375557;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:33";="020000022";nbuhcd;0;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:33";="020000022";nbabott;0;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";per;1;2;3;1;2;3;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbrsa;997;1105;-9.773755656;718;787;-8.76747141;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";cmd90;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";hper;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";typsejb;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";ghs9999;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbrsaseance;10;8;25;8;2;300;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbseances;10;8;25;8;2;300;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbrsa0;421;410;2.6829268293;294;296;-0.675675676;2023.7;X590782439;22AUG23;19:09:40
