"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;mnt_sma;mnt_per_t2a;mnt_sma_per;mnt_du;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";05;49597;34014.641647;30456.5;34014.641647;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";06;262;220.5743744;173.16;220.5743744;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";07;2110;9684.6912184;3766.99;9684.6912184;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";08;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";09;18937;11020.68;11038.81;11020.68;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:32";="020000253";99;41066631;24937955.874;24250261.09;24937955.874;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";01;45374868;17803941.401;23869253.52;23869253.52;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";02;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";03;190860;28414.789488;86458.94;86458.94;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";04;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";05;6116;8910.9450744;5170.65;5170.65;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";06;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";07;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";08;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";09;499;847.61;458.04;458.04;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:37";="620003376";99;45572343;17842114.746;23961341.15;23961341.15;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:17";="620101337";01;68914181;37800474.765;39480099.67;39480099.67;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:17";="620101337";02;61885;38396.466571;36788.65;36788.65;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:17";="620101337";03;118651;109201.16328;81209.51;81209.51;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:17";="620101337";04;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:17";="620101337";05;54604;39117.309818;34031.83;34031.83;2023.7;X620101337;25AUG23;12:05:23
